partition,check,actual,expected,pass
external,candidates,81.0,81.0,True
external,accepted,74.0,74.0,True
external,blocked,7.0,7.0,True
external,wr,0.7297297297297297,0.7297297297297297,True
external,pf,2.7532323332520177,2.7532323332520177,True
external,expectancy,1.7809863737111453,1.780986373711145,True
external,total_net,131.79299165462476,131.79299165462476,True
external,max_loss_streak,3.0,3.0,True
development,candidates,113.0,113.0,True
development,accepted,106.0,106.0,True
development,blocked,7.0,7.0,True
development,wr,0.6792452830188679,0.6792452830188679,True
development,pf,1.834883211367277,1.834883211367277,True
development,expectancy,0.9687452546086233,0.9687452546086232,True
development,total_net,102.68699698851407,102.68699698851408,True
development,max_loss_streak,3.0,3.0,True
reference_validation,candidates,48.0,48.0,True
reference_validation,accepted,47.0,47.0,True
reference_validation,blocked,1.0,1.0,True
reference_validation,wr,0.8085106382978723,0.8085106382978723,True
reference_validation,pf,3.0961783557456344,3.0961783557456344,True
reference_validation,expectancy,1.3916627979224954,1.3916627979224954,True
reference_validation,total_net,65.40815150235728,65.40815150235728,True
reference_validation,max_loss_streak,2.0,2.0,True
august,candidates,2.0,2.0,True
august,accepted,1.0,1.0,True
august,blocked,1.0,1.0,True
august,wr,1.0,1.0,True
august,pf,inf,inf,True
august,expectancy,2.6529477668266304,2.6529477668266304,True
august,total_net,2.6529477668266304,2.6529477668266304,True
august,max_loss_streak,0.0,0.0,True
POOLED_MAJOR,candidates,242.0,242.0,True
POOLED_MAJOR,accepted,227.0,227.0,True
POOLED_MAJOR,blocked,15.0,15.0,True
POOLED_MAJOR,wr,0.7224669603524229,0.7224669603524229,True
POOLED_MAJOR,pf,2.3074393026972984,2.3074393026972984,True
POOLED_MAJOR,expectancy,1.321093128394256,1.321093128394256,True
POOLED_MAJOR,total_net,299.8881401454961,299.8881401454961,True
POOLED_MAJOR,max_loss_streak,3.0,3.0,True
RUNNER_STATE_MACHINE,restart_replay_all_runner_candidates,182.0,182.0,True
