candidate_id,shape_rule,scale_state,lookback_min,hold_min,pooled_gate,year_gate,concentration_gate,plateau_pass,eligible,rejection_reason
DRIVE_UP|RANGE_72H_HIGH|LB15|H960,DRIVE_UP,RANGE_72H_HIGH,15,960,False,False,True,False,False,POOLED_GATE|YEAR_GATE|PLATEAU_GATE
DRIVE_UP|RANGE_RATIO_24_72_LOW|LB15|H60,DRIVE_UP,RANGE_RATIO_24_72_LOW,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_UP|RANGE_RATIO_24_72_LOW|LB15|H120,DRIVE_UP,RANGE_RATIO_24_72_LOW,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_UP|RANGE_RATIO_24_72_LOW|LB15|H240,DRIVE_UP,RANGE_RATIO_24_72_LOW,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_UP|RANGE_RATIO_24_72_LOW|LB15|H360,DRIVE_UP,RANGE_RATIO_24_72_LOW,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_UP|RANGE_RATIO_24_72_LOW|LB15|H720,DRIVE_UP,RANGE_RATIO_24_72_LOW,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_UP|RANGE_RATIO_24_72_LOW|LB15|H960,DRIVE_UP,RANGE_RATIO_24_72_LOW,15,960,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_UP|RANGE_RATIO_24_72_MID|LB15|H60,DRIVE_UP,RANGE_RATIO_24_72_MID,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_UP|RANGE_RATIO_24_72_MID|LB15|H120,DRIVE_UP,RANGE_RATIO_24_72_MID,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_UP|RANGE_RATIO_24_72_MID|LB15|H240,DRIVE_UP,RANGE_RATIO_24_72_MID,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_UP|RANGE_RATIO_24_72_MID|LB15|H360,DRIVE_UP,RANGE_RATIO_24_72_MID,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_UP|RANGE_RATIO_24_72_MID|LB15|H720,DRIVE_UP,RANGE_RATIO_24_72_MID,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_UP|RANGE_RATIO_24_72_MID|LB15|H960,DRIVE_UP,RANGE_RATIO_24_72_MID,15,960,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_UP|RANGE_RATIO_24_72_HIGH|LB15|H60,DRIVE_UP,RANGE_RATIO_24_72_HIGH,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_UP|RANGE_RATIO_24_72_HIGH|LB15|H120,DRIVE_UP,RANGE_RATIO_24_72_HIGH,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_UP|RANGE_RATIO_24_72_HIGH|LB15|H240,DRIVE_UP,RANGE_RATIO_24_72_HIGH,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_UP|RANGE_RATIO_24_72_HIGH|LB15|H360,DRIVE_UP,RANGE_RATIO_24_72_HIGH,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_UP|RANGE_RATIO_24_72_HIGH|LB15|H720,DRIVE_UP,RANGE_RATIO_24_72_HIGH,15,720,False,False,False,True,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE
DRIVE_UP|RANGE_RATIO_24_72_HIGH|LB15|H960,DRIVE_UP,RANGE_RATIO_24_72_HIGH,15,960,False,False,False,True,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE
DRIVE_DOWN|NONE|LB15|H60,DRIVE_DOWN,NONE,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|NONE|LB15|H120,DRIVE_DOWN,NONE,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|NONE|LB15|H240,DRIVE_DOWN,NONE,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|NONE|LB15|H360,DRIVE_DOWN,NONE,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|NONE|LB15|H720,DRIVE_DOWN,NONE,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|NONE|LB15|H960,DRIVE_DOWN,NONE,15,960,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RAW_RANGE_LB_LOW|LB15|H60,DRIVE_DOWN,RAW_RANGE_LB_LOW,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RAW_RANGE_LB_LOW|LB15|H120,DRIVE_DOWN,RAW_RANGE_LB_LOW,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RAW_RANGE_LB_LOW|LB15|H240,DRIVE_DOWN,RAW_RANGE_LB_LOW,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RAW_RANGE_LB_LOW|LB15|H360,DRIVE_DOWN,RAW_RANGE_LB_LOW,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RAW_RANGE_LB_LOW|LB15|H720,DRIVE_DOWN,RAW_RANGE_LB_LOW,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RAW_RANGE_LB_LOW|LB15|H960,DRIVE_DOWN,RAW_RANGE_LB_LOW,15,960,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RAW_RANGE_LB_MID|LB15|H60,DRIVE_DOWN,RAW_RANGE_LB_MID,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RAW_RANGE_LB_MID|LB15|H120,DRIVE_DOWN,RAW_RANGE_LB_MID,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RAW_RANGE_LB_MID|LB15|H240,DRIVE_DOWN,RAW_RANGE_LB_MID,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RAW_RANGE_LB_MID|LB15|H360,DRIVE_DOWN,RAW_RANGE_LB_MID,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RAW_RANGE_LB_MID|LB15|H720,DRIVE_DOWN,RAW_RANGE_LB_MID,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RAW_RANGE_LB_MID|LB15|H960,DRIVE_DOWN,RAW_RANGE_LB_MID,15,960,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RAW_RANGE_LB_HIGH|LB15|H60,DRIVE_DOWN,RAW_RANGE_LB_HIGH,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RAW_RANGE_LB_HIGH|LB15|H120,DRIVE_DOWN,RAW_RANGE_LB_HIGH,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RAW_RANGE_LB_HIGH|LB15|H240,DRIVE_DOWN,RAW_RANGE_LB_HIGH,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RAW_RANGE_LB_HIGH|LB15|H360,DRIVE_DOWN,RAW_RANGE_LB_HIGH,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RAW_RANGE_LB_HIGH|LB15|H720,DRIVE_DOWN,RAW_RANGE_LB_HIGH,15,720,False,False,True,False,False,POOLED_GATE|YEAR_GATE|PLATEAU_GATE
DRIVE_DOWN|RAW_RANGE_LB_HIGH|LB15|H960,DRIVE_DOWN,RAW_RANGE_LB_HIGH,15,960,False,False,True,False,False,POOLED_GATE|YEAR_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_24H_LOW|LB15|H60,DRIVE_DOWN,RANGE_24H_LOW,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_24H_LOW|LB15|H120,DRIVE_DOWN,RANGE_24H_LOW,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_24H_LOW|LB15|H240,DRIVE_DOWN,RANGE_24H_LOW,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_24H_LOW|LB15|H360,DRIVE_DOWN,RANGE_24H_LOW,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_24H_LOW|LB15|H720,DRIVE_DOWN,RANGE_24H_LOW,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_24H_LOW|LB15|H960,DRIVE_DOWN,RANGE_24H_LOW,15,960,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_24H_MID|LB15|H60,DRIVE_DOWN,RANGE_24H_MID,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_24H_MID|LB15|H120,DRIVE_DOWN,RANGE_24H_MID,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_24H_MID|LB15|H240,DRIVE_DOWN,RANGE_24H_MID,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_24H_MID|LB15|H360,DRIVE_DOWN,RANGE_24H_MID,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_24H_MID|LB15|H720,DRIVE_DOWN,RANGE_24H_MID,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_24H_MID|LB15|H960,DRIVE_DOWN,RANGE_24H_MID,15,960,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_24H_HIGH|LB15|H60,DRIVE_DOWN,RANGE_24H_HIGH,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_24H_HIGH|LB15|H120,DRIVE_DOWN,RANGE_24H_HIGH,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_24H_HIGH|LB15|H240,DRIVE_DOWN,RANGE_24H_HIGH,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_24H_HIGH|LB15|H360,DRIVE_DOWN,RANGE_24H_HIGH,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_24H_HIGH|LB15|H720,DRIVE_DOWN,RANGE_24H_HIGH,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_24H_HIGH|LB15|H960,DRIVE_DOWN,RANGE_24H_HIGH,15,960,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_72H_LOW|LB15|H60,DRIVE_DOWN,RANGE_72H_LOW,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_72H_LOW|LB15|H120,DRIVE_DOWN,RANGE_72H_LOW,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_72H_LOW|LB15|H240,DRIVE_DOWN,RANGE_72H_LOW,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_72H_LOW|LB15|H360,DRIVE_DOWN,RANGE_72H_LOW,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_72H_LOW|LB15|H720,DRIVE_DOWN,RANGE_72H_LOW,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_72H_LOW|LB15|H960,DRIVE_DOWN,RANGE_72H_LOW,15,960,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_72H_MID|LB15|H60,DRIVE_DOWN,RANGE_72H_MID,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_72H_MID|LB15|H120,DRIVE_DOWN,RANGE_72H_MID,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_72H_MID|LB15|H240,DRIVE_DOWN,RANGE_72H_MID,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_72H_MID|LB15|H360,DRIVE_DOWN,RANGE_72H_MID,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_72H_MID|LB15|H720,DRIVE_DOWN,RANGE_72H_MID,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_72H_MID|LB15|H960,DRIVE_DOWN,RANGE_72H_MID,15,960,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_72H_HIGH|LB15|H60,DRIVE_DOWN,RANGE_72H_HIGH,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_72H_HIGH|LB15|H120,DRIVE_DOWN,RANGE_72H_HIGH,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_72H_HIGH|LB15|H240,DRIVE_DOWN,RANGE_72H_HIGH,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_72H_HIGH|LB15|H360,DRIVE_DOWN,RANGE_72H_HIGH,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_72H_HIGH|LB15|H720,DRIVE_DOWN,RANGE_72H_HIGH,15,720,False,False,True,False,False,POOLED_GATE|YEAR_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_72H_HIGH|LB15|H960,DRIVE_DOWN,RANGE_72H_HIGH,15,960,False,False,True,False,False,POOLED_GATE|YEAR_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_RATIO_24_72_LOW|LB15|H60,DRIVE_DOWN,RANGE_RATIO_24_72_LOW,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_RATIO_24_72_LOW|LB15|H120,DRIVE_DOWN,RANGE_RATIO_24_72_LOW,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_RATIO_24_72_LOW|LB15|H240,DRIVE_DOWN,RANGE_RATIO_24_72_LOW,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_RATIO_24_72_LOW|LB15|H360,DRIVE_DOWN,RANGE_RATIO_24_72_LOW,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_RATIO_24_72_LOW|LB15|H720,DRIVE_DOWN,RANGE_RATIO_24_72_LOW,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_RATIO_24_72_LOW|LB15|H960,DRIVE_DOWN,RANGE_RATIO_24_72_LOW,15,960,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_RATIO_24_72_MID|LB15|H60,DRIVE_DOWN,RANGE_RATIO_24_72_MID,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_RATIO_24_72_MID|LB15|H120,DRIVE_DOWN,RANGE_RATIO_24_72_MID,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_RATIO_24_72_MID|LB15|H240,DRIVE_DOWN,RANGE_RATIO_24_72_MID,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_RATIO_24_72_MID|LB15|H360,DRIVE_DOWN,RANGE_RATIO_24_72_MID,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_RATIO_24_72_MID|LB15|H720,DRIVE_DOWN,RANGE_RATIO_24_72_MID,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_RATIO_24_72_MID|LB15|H960,DRIVE_DOWN,RANGE_RATIO_24_72_MID,15,960,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_RATIO_24_72_HIGH|LB15|H60,DRIVE_DOWN,RANGE_RATIO_24_72_HIGH,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_RATIO_24_72_HIGH|LB15|H120,DRIVE_DOWN,RANGE_RATIO_24_72_HIGH,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_RATIO_24_72_HIGH|LB15|H240,DRIVE_DOWN,RANGE_RATIO_24_72_HIGH,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_RATIO_24_72_HIGH|LB15|H360,DRIVE_DOWN,RANGE_RATIO_24_72_HIGH,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_RATIO_24_72_HIGH|LB15|H720,DRIVE_DOWN,RANGE_RATIO_24_72_HIGH,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
DRIVE_DOWN|RANGE_RATIO_24_72_HIGH|LB15|H960,DRIVE_DOWN,RANGE_RATIO_24_72_HIGH,15,960,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|NONE|LB15|H60,STR_B0_20,NONE,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|NONE|LB15|H120,STR_B0_20,NONE,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|NONE|LB15|H240,STR_B0_20,NONE,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|NONE|LB15|H360,STR_B0_20,NONE,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|NONE|LB15|H720,STR_B0_20,NONE,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|NONE|LB15|H960,STR_B0_20,NONE,15,960,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RAW_RANGE_LB_LOW|LB15|H60,STR_B0_20,RAW_RANGE_LB_LOW,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RAW_RANGE_LB_LOW|LB15|H120,STR_B0_20,RAW_RANGE_LB_LOW,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RAW_RANGE_LB_LOW|LB15|H240,STR_B0_20,RAW_RANGE_LB_LOW,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RAW_RANGE_LB_LOW|LB15|H360,STR_B0_20,RAW_RANGE_LB_LOW,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RAW_RANGE_LB_LOW|LB15|H720,STR_B0_20,RAW_RANGE_LB_LOW,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RAW_RANGE_LB_LOW|LB15|H960,STR_B0_20,RAW_RANGE_LB_LOW,15,960,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RAW_RANGE_LB_MID|LB15|H60,STR_B0_20,RAW_RANGE_LB_MID,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RAW_RANGE_LB_MID|LB15|H120,STR_B0_20,RAW_RANGE_LB_MID,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RAW_RANGE_LB_MID|LB15|H240,STR_B0_20,RAW_RANGE_LB_MID,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RAW_RANGE_LB_MID|LB15|H360,STR_B0_20,RAW_RANGE_LB_MID,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RAW_RANGE_LB_MID|LB15|H720,STR_B0_20,RAW_RANGE_LB_MID,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RAW_RANGE_LB_MID|LB15|H960,STR_B0_20,RAW_RANGE_LB_MID,15,960,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RAW_RANGE_LB_HIGH|LB15|H60,STR_B0_20,RAW_RANGE_LB_HIGH,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RAW_RANGE_LB_HIGH|LB15|H120,STR_B0_20,RAW_RANGE_LB_HIGH,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RAW_RANGE_LB_HIGH|LB15|H240,STR_B0_20,RAW_RANGE_LB_HIGH,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RAW_RANGE_LB_HIGH|LB15|H360,STR_B0_20,RAW_RANGE_LB_HIGH,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RAW_RANGE_LB_HIGH|LB15|H720,STR_B0_20,RAW_RANGE_LB_HIGH,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RAW_RANGE_LB_HIGH|LB15|H960,STR_B0_20,RAW_RANGE_LB_HIGH,15,960,False,False,True,False,False,POOLED_GATE|YEAR_GATE|PLATEAU_GATE
STR_B0_20|RANGE_24H_LOW|LB15|H60,STR_B0_20,RANGE_24H_LOW,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RANGE_24H_LOW|LB15|H120,STR_B0_20,RANGE_24H_LOW,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RANGE_24H_LOW|LB15|H240,STR_B0_20,RANGE_24H_LOW,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RANGE_24H_LOW|LB15|H360,STR_B0_20,RANGE_24H_LOW,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
STR_B0_20|RANGE_24H_LOW|LB15|H720,STR_B0_20,RANGE_24H_LOW,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
