variant,partition,zone,accepted,n,wins,wr,pf,expectancy,total_net
FIXED_E20,external,ALT_0330,20,20,16,0.8,3.556227003818883,2.7616988500863338,55.23397700172667
FIXED_E20,external,RAW_0530,14,14,11,0.7857142857142857,3.234945981473182,1.6490070290890242,23.08609840724634
FIXED_E20,external,LONDON,26,26,20,0.7692307692307693,2.2679860117573436,1.4414928749162144,37.47881474782157
FIXED_E20,external,RAW_2330,14,14,10,0.7142857142857143,3.0309444683241167,1.7084257931486113,23.917961104080558
FIXED_E20,development,ALT_0330,29,29,21,0.7241379310344828,1.7969649354236865,0.7713507477947398,22.369171686047455
FIXED_E20,development,RAW_0530,31,31,23,0.7419354838709677,1.595922958708553,0.5991292837068394,18.57300779491202
FIXED_E20,development,LONDON,30,30,20,0.6666666666666666,1.169454844550486,0.305477199960904,9.16431599882712
FIXED_E20,development,RAW_2330,17,17,13,0.7647058823529411,2.519120413116884,0.8069929486189691,13.718880126522475
FIXED_E20,reference_validation,ALT_0330,12,12,10,0.8333333333333334,1.6385878171119057,0.403316445202674,4.839797342432088
FIXED_E20,reference_validation,RAW_0530,10,10,8,0.8,1.5026157395963813,0.5623495616848776,5.623495616848776
FIXED_E20,reference_validation,LONDON,11,11,10,0.9090909090909091,6.228115566751987,1.4915967936781387,16.407564730459526
FIXED_E20,reference_validation,RAW_2330,14,14,10,0.7142857142857143,2.3367862058214075,0.8878003929608361,12.429205501451706
FIXED_E20,august,ALT_0330,0,0,0,,,,0.0
FIXED_E20,august,RAW_0530,0,0,0,,,,0.0
FIXED_E20,august,LONDON,1,1,1,1.0,inf,2.6529477668266304,2.6529477668266304
FIXED_E20,august,RAW_2330,0,0,0,,,,0.0
FIXED_E20,POOLED_MAJOR,ALT_0330,61,61,47,0.7704918032786885,2.4399389229148265,1.3515237054132163,82.4429460302062
FIXED_E20,POOLED_MAJOR,RAW_0530,55,55,42,0.7636363636363637,1.8974610230252045,0.8596836694364934,47.28260181900714
FIXED_E20,POOLED_MAJOR,LONDON,67,67,50,0.746268656716418,1.7265809196003479,0.9410551563747495,63.05069547710821
FIXED_E20,POOLED_MAJOR,RAW_2330,45,45,33,0.7333333333333333,2.663025541560747,1.1125788162678831,50.06604673205474
LIVE_EXEC_NPLUS2_E10_HYBRID,external,ALT_0330,20,20,16,0.8,3.556227003818883,2.7616988500863338,55.23397700172667
LIVE_EXEC_NPLUS2_E10_HYBRID,external,RAW_0530,14,14,11,0.7857142857142857,3.927904737623034,2.16029180699076,30.244085297870637
LIVE_EXEC_NPLUS2_E10_HYBRID,external,LONDON,26,26,19,0.7307692307692307,1.6790787024990648,0.7748962775285856,20.147303215743225
LIVE_EXEC_NPLUS2_E10_HYBRID,external,RAW_2330,14,14,9,0.6428571428571429,3.0168892294182696,2.0318180685931053,28.445452960303477
LIVE_EXEC_NPLUS2_E10_HYBRID,development,ALT_0330,29,29,21,0.7241379310344828,1.7969649354236865,0.7713507477947398,22.369171686047455
LIVE_EXEC_NPLUS2_E10_HYBRID,development,RAW_0530,30,30,19,0.6333333333333333,1.4770366342605021,0.5099331389480899,15.297994168442695
LIVE_EXEC_NPLUS2_E10_HYBRID,development,LONDON,30,30,18,0.6,1.6809357377080658,1.2492010545777978,37.47603163733393
LIVE_EXEC_NPLUS2_E10_HYBRID,development,RAW_2330,17,17,13,0.7647058823529411,3.029964286967208,1.0783653826162012,18.33221150447542
LIVE_EXEC_NPLUS2_E10_HYBRID,reference_validation,ALT_0330,12,12,10,0.8333333333333334,1.6385878171119057,0.403316445202674,4.839797342432088
LIVE_EXEC_NPLUS2_E10_HYBRID,reference_validation,RAW_0530,10,10,8,0.8,2.1141300537537213,1.2465398475015543,12.465398475015544
LIVE_EXEC_NPLUS2_E10_HYBRID,reference_validation,LONDON,11,11,10,0.9090909090909091,4.921749525037485,1.1188867083113914,12.307753791425306
LIVE_EXEC_NPLUS2_E10_HYBRID,reference_validation,RAW_2330,14,14,10,0.7142857142857143,4.506253629398495,2.328609718176742,32.60053605447438
LIVE_EXEC_NPLUS2_E10_HYBRID,august,ALT_0330,0,0,0,,,,0.0
LIVE_EXEC_NPLUS2_E10_HYBRID,august,RAW_0530,0,0,0,,,,0.0
LIVE_EXEC_NPLUS2_E10_HYBRID,august,LONDON,1,1,1,1.0,inf,2.6529477668266304,2.6529477668266304
LIVE_EXEC_NPLUS2_E10_HYBRID,august,RAW_2330,0,0,0,,,,0.0
LIVE_EXEC_NPLUS2_E10_HYBRID,POOLED_MAJOR,ALT_0330,61,61,47,0.7704918032786885,2.4399389229148265,1.3515237054132163,82.4429460302062
LIVE_EXEC_NPLUS2_E10_HYBRID,POOLED_MAJOR,RAW_0530,54,54,38,0.7037037037037037,2.0824943803399583,1.0742125544690533,58.00747794132888
LIVE_EXEC_NPLUS2_E10_HYBRID,POOLED_MAJOR,LONDON,67,67,47,0.7014925373134329,1.7960918262120225,1.043747591708992,69.93108864450247
LIVE_EXEC_NPLUS2_E10_HYBRID,POOLED_MAJOR,RAW_2330,45,45,32,0.7111111111111111,3.447507702666637,1.7639600115389615,79.37820051925327
