hour_wib,anchor_utc_min,lookback_min,hold_min,character_rule,entry_ts,exit_ts,gross,net
2,1185,150,300,RV_HIGH__RANGE_MID,2022-07-19 19:45:00+00:00,2022-07-20 00:45:00+00:00,-19.402966131273793,-20.152966131273793
2,1140,150,300,RV_HIGH__RANGE_MID,2022-07-20 19:00:00+00:00,2022-07-21 00:00:00+00:00,-12.304121463927608,-13.054121463927608
2,1155,150,300,RV_HIGH__RANGE_MID,2022-07-20 19:15:00+00:00,2022-07-21 00:15:00+00:00,-9.68657137001742,-10.43657137001742
2,1170,150,300,RV_HIGH__RANGE_MID,2022-07-20 19:30:00+00:00,2022-07-21 00:30:00+00:00,-9.936493681442048,-10.686493681442048
2,1155,150,300,RV_HIGH__RANGE_MID,2022-07-21 19:15:00+00:00,2022-07-22 00:15:00+00:00,4.639372488999484,3.8893724889994843
2,1170,150,300,RV_HIGH__RANGE_MID,2022-07-21 19:30:00+00:00,2022-07-22 00:30:00+00:00,8.145528303945632,7.395528303945632
2,1185,150,300,RV_HIGH__RANGE_MID,2022-07-21 19:45:00+00:00,2022-07-22 00:45:00+00:00,10.00352914755047,9.25352914755047
2,1140,150,300,RV_HIGH__RANGE_MID,2022-08-04 19:00:00+00:00,2022-08-05 00:00:00+00:00,2.9887647482239394,2.2387647482239394
2,1140,150,300,RV_HIGH__RANGE_MID,2022-08-31 19:00:00+00:00,2022-09-01 00:00:00+00:00,1.5955041663975371,0.8455041663975371
2,1155,150,300,RV_HIGH__RANGE_MID,2022-08-31 19:15:00+00:00,2022-09-01 00:15:00+00:00,-0.706187609443114,-1.456187609443114
2,1140,150,300,RV_HIGH__RANGE_MID,2022-09-16 19:00:00+00:00,2022-09-17 00:00:00+00:00,2.129597197898398,1.379597197898398
2,1155,150,300,RV_HIGH__RANGE_MID,2022-09-16 19:15:00+00:00,2022-09-17 00:15:00+00:00,2.70408127615867,1.95408127615867
2,1170,150,300,RV_HIGH__RANGE_MID,2022-09-16 19:30:00+00:00,2022-09-17 00:30:00+00:00,5.9243113337384665,5.1743113337384665
2,1185,150,300,RV_HIGH__RANGE_MID,2022-09-16 19:45:00+00:00,2022-09-17 00:45:00+00:00,4.465406174182275,3.7154061741822746
2,1170,150,300,RV_HIGH__RANGE_MID,2022-09-20 19:30:00+00:00,2022-09-21 00:30:00+00:00,-8.089884313914121,-8.839884313914121
2,1140,150,300,RV_HIGH__RANGE_MID,2022-09-23 19:00:00+00:00,2022-09-24 00:00:00+00:00,17.47918958347959,16.72918958347959
2,1155,150,300,RV_HIGH__RANGE_MID,2022-09-23 19:15:00+00:00,2022-09-24 00:15:00+00:00,13.049450549450592,12.299450549450592
2,1170,150,300,RV_HIGH__RANGE_MID,2022-09-23 19:30:00+00:00,2022-09-24 00:30:00+00:00,13.648523229786536,12.898523229786536
2,1185,150,300,RV_HIGH__RANGE_MID,2022-09-23 19:45:00+00:00,2022-09-24 00:45:00+00:00,7.647259055252205,6.897259055252205
2,1140,150,300,RV_HIGH__RANGE_MID,2022-09-29 19:00:00+00:00,2022-09-30 00:00:00+00:00,3.18163997708015,2.43163997708015
2,1140,150,300,RV_HIGH__RANGE_MID,2022-10-26 19:00:00+00:00,2022-10-27 00:00:00+00:00,3.9694292778407836,3.2194292778407836
2,1155,150,300,RV_HIGH__RANGE_MID,2022-10-26 19:15:00+00:00,2022-10-27 00:15:00+00:00,4.613643524502115,3.8636435245021152
2,1170,150,300,RV_HIGH__RANGE_MID,2022-10-26 19:30:00+00:00,2022-10-27 00:30:00+00:00,1.0474524802521517,0.29745248025215165
2,1185,150,300,RV_HIGH__RANGE_MID,2022-10-26 19:45:00+00:00,2022-10-27 00:45:00+00:00,-1.6275604499613558,-2.377560449961356
2,1170,150,300,RV_HIGH__RANGE_MID,2023-01-11 19:30:00+00:00,2023-01-12 00:30:00+00:00,18.856025494630146,18.106025494630146
2,1185,150,300,RV_HIGH__RANGE_MID,2023-01-11 19:45:00+00:00,2023-01-12 00:45:00+00:00,18.089337047021825,17.339337047021825
2,1140,150,300,RV_HIGH__RANGE_MID,2023-01-23 19:00:00+00:00,2023-01-24 00:00:00+00:00,-0.7702174406687055,-1.5202174406687055
2,1155,150,300,RV_HIGH__RANGE_MID,2023-01-23 19:15:00+00:00,2023-01-24 00:15:00+00:00,-0.27947029629989145,-1.0294702962998914
2,1170,150,300,RV_HIGH__RANGE_MID,2023-01-23 19:30:00+00:00,2023-01-24 00:30:00+00:00,2.3308946694256094,1.5808946694256094
2,1185,150,300,RV_HIGH__RANGE_MID,2023-01-23 19:45:00+00:00,2023-01-24 00:45:00+00:00,4.023908568885477,3.273908568885477
