variant,partition,candidates,accepted,blocked,n,wins,wr,pf,expectancy,total_net,max_loss_streak,armed
FIXED_E20,external,81,74,7,74,57,0.7702702702702703,2.9068314349158606,1.8880655575793936,139.71685126087513,3,52
E20_ARMED_STEP10_RUNNER,external,81,74,7,74,53,0.7162162162162162,2.77985773276115,1.8370092901272788,135.93868746941862,3,52
FIXED_E20,development,113,107,6,107,77,0.719626168224299,1.5216762442960847,0.5964988374421408,63.825375606309066,3,74
E20_ARMED_STEP10_RUNNER,development,113,106,7,106,70,0.660377358490566,1.5124924985993589,0.6089156416356635,64.54505801338033,4,73
FIXED_E20,reference_validation,48,47,1,47,38,0.8085106382978723,2.2594751563624853,0.8361715572594063,39.300063191192095,2,36
E20_ARMED_STEP10_RUNNER,reference_validation,48,47,1,47,38,0.8085106382978723,3.0224536543516356,1.3427166173950869,63.10768101756908,2,36
FIXED_E20,august,2,1,1,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,0,0
E20_ARMED_STEP10_RUNNER,august,2,1,1,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,0,0
FIXED_E20,POOLED_MAJOR,242,228,14,228,172,0.7543859649122807,2.0706294548578668,1.0650977634139314,242.84229005837636,3,162
E20_ARMED_STEP10_RUNNER,POOLED_MAJOR,242,227,15,227,161,0.7092511013215859,2.12875955020063,1.1611957114553655,263.59142650036796,4,161
