partition,date_utc,signal_ts,cohort,entry_ts,entry_px,H,L,range,h2_bar_start,session_end,fixed_exit_ts,fixed_exit_px,fixed_exit_reason,fixed_net_pnl_usd,hybrid_exit_ts,hybrid_exit_px,hybrid_exit_reason,hybrid_net_pnl_usd,e10_reached,e10_activation_bar_start,e10_activation_ts,final_floor,final_floor_extension,floor_updates,realized_exit_extension,hybrid_hold_minutes
development,2023-03-22,2023-03-22 13:35:00+00:00,EARLY_RECLAIM,2023-03-22 14:05:00+00:00,1798.89,1802.55,1780.02,22.529999999999973,2023-03-22 14:30:00+00:00,2023-03-22 20:00:00+00:00,2023-03-22 14:30:00+00:00,1804.803,TP_E10,1.243513499991589,2023-03-22 14:35:00+00:00,1800.17,ACTIVE_FLOOR_GAP_OPEN,-0.04422504989192133,True,2023-03-22 14:30:00+00:00,2023-03-22 14:35:00+00:00,1804.8029999999999,0.09999999999999697,0,-0.10563692853971969,30.0
development,2023-04-25,2023-04-25 13:35:00+00:00,EARLY_RECLAIM,2023-04-25 17:40:00+00:00,1826.47,1831.22,1804.44,26.779999999999973,2023-04-25 17:40:00+00:00,2023-04-25 20:00:00+00:00,2023-04-25 17:40:00+00:00,1833.898,TP_E10,1.6334306065799002,2023-04-25 17:50:00+00:00,1833.8980000000001,ACTIVE_FLOOR_TOUCH,1.6334306065799002,True,2023-04-25 17:40:00+00:00,2023-04-25 17:45:00+00:00,1833.8980000000001,0.10000000000000424,0,0.10000000000000424,10.0
development,2023-04-27,2023-04-27 14:05:00+00:00,EARLY_RECLAIM,2023-04-27 14:15:00+00:00,1890.15,1895.0,1858.55,36.450000000000045,2023-04-27 15:20:00+00:00,2023-04-27 20:00:00+00:00,2023-04-27 15:20:00+00:00,1898.645,TP_E10,1.847176150040997,2023-04-27 15:30:00+00:00,1898.645,ACTIVE_FLOOR_TOUCH,1.8471761500409971,True,2023-04-27 15:20:00+00:00,2023-04-27 15:25:00+00:00,1898.645,0.09999999999999938,0,0.09999999999999938,75.0
development,2023-05-09,2023-05-09 17:05:00+00:00,EARLY_RECLAIM,2023-05-09 17:20:00+00:00,1851.27,1853.83,1833.03,20.799999999999955,,2023-05-09 20:00:00+00:00,2023-05-09 20:00:00+00:00,1851.79,TIME_EXIT_SESSION_END,-0.2595558724551191,2023-05-09 20:00:00+00:00,1851.79,PRE_E10_TIME_EXIT,-0.25955587245511913,False,,,,,0,-0.09807692307692155,160.0
development,2023-05-12,2023-05-12 13:35:00+00:00,EARLY_RECLAIM,2023-05-12 13:45:00+00:00,1773.91,1776.68,1754.26,22.420000000000076,2023-05-12 14:10:00+00:00,2023-05-12 20:00:00+00:00,2023-05-12 14:10:00+00:00,1778.922,TP_E10,1.0126985021787331,2023-05-12 14:20:00+00:00,1778.922,ACTIVE_FLOOR_TOUCH,1.0126985021787331,True,2023-05-12 14:10:00+00:00,2023-05-12 14:15:00+00:00,1778.922,0.09999999999999795,0,0.09999999999999795,35.0
development,2023-05-16,2023-05-16 17:00:00+00:00,EARLY_RECLAIM,2023-05-16 17:45:00+00:00,1824.07,1826.92,1808.93,17.99000000000001,2023-05-16 17:45:00+00:00,2023-05-16 20:00:00+00:00,2023-05-16 18:00:00+00:00,1828.719,TP_E10,0.8743480239245652,2023-05-16 18:05:00+00:00,1826.19,ACTIVE_FLOOR_GAP_OPEN,0.18111804919769303,True,2023-05-16 18:00:00+00:00,2023-05-16 18:05:00+00:00,1828.719,0.09999999999999874,0,-0.04057809894385869,20.0
development,2023-05-26,2023-05-26 13:40:00+00:00,EARLY_RECLAIM,2023-05-26 14:00:00+00:00,1822.4,1826.0,1807.81,18.19000000000005,2023-05-26 14:00:00+00:00,2023-05-26 20:00:00+00:00,2023-05-26 14:25:00+00:00,1827.819,TP_E10,1.0867756804214372,2023-05-26 14:55:00+00:00,1828.02,ACTIVE_FLOOR_TOUCH,1.1419227392449165,True,2023-05-26 14:25:00+00:00,2023-05-26 14:30:00+00:00,1828.02,0.11105002748762925,1,0.11105002748762925,55.0
development,2023-06-21,2023-06-21 14:00:00+00:00,EARLY_RECLAIM,2023-06-21 14:25:00+00:00,1831.5,1839.0,1806.58,32.42000000000007,2023-06-21 14:25:00+00:00,2023-06-21 20:00:00+00:00,2023-06-21 14:25:00+00:00,1842.242,TP_E10,2.53256893256888,2023-06-21 14:30:00+00:00,1840.66,ACTIVE_FLOOR_GAP_OPEN,2.100682500682472,True,2023-06-21 14:25:00+00:00,2023-06-21 14:30:00+00:00,1842.242,0.0999999999999986,0,0.0512029611351042,5.0
development,2023-07-14,2023-07-14 15:35:00+00:00,EARLY_RECLAIM,2023-07-14 15:45:00+00:00,1999.54,2004.0,1984.07,19.930000000000064,,2023-07-14 20:00:00+00:00,2023-07-14 17:05:00+00:00,1985.8,CLOSE_INVALIDATION_F15,-3.835790231753333,2023-07-14 17:05:00+00:00,1985.8,PRE_E10_CLOSE_INVALIDATION_F15,-3.835790231753333,False,,,,,0,-0.9131961866532858,80.0
development,2023-07-26,2023-07-26 14:05:00+00:00,EARLY_RECLAIM,2023-07-26 14:20:00+00:00,1856.66,1858.52,1846.9,11.61999999999989,2023-07-26 14:20:00+00:00,2023-07-26 20:00:00+00:00,2023-07-26 14:30:00+00:00,1859.682,TP_E10,0.4138269796300612,2023-07-26 14:35:00+00:00,1857.67,ACTIVE_FLOOR_GAP_OPEN,-0.1280062046901561,True,2023-07-26 14:30:00+00:00,2023-07-26 14:35:00+00:00,1859.682,0.10000000000000392,0,-0.07314974182443348,15.0
development,2023-08-03,2023-08-03 13:40:00+00:00,EARLY_RECLAIM,2023-08-03 13:50:00+00:00,1837.14,1838.5,1825.0,13.5,2023-08-03 13:55:00+00:00,2023-08-03 20:00:00+00:00,2023-08-03 14:00:00+00:00,1839.85,TP_E10,0.3375594674330354,2023-08-03 14:10:00+00:00,1839.85,ACTIVE_FLOOR_TOUCH,0.33755946743303544,True,2023-08-03 14:00:00+00:00,2023-08-03 14:05:00+00:00,1839.85,0.09999999999999326,0,0.09999999999999326,20.0
development,2023-09-14,2023-09-14 15:00:00+00:00,EARLY_RECLAIM,2023-09-14 15:25:00+00:00,1631.26,1635.8,1615.85,19.950000000000045,2023-09-14 17:05:00+00:00,2023-09-14 20:00:00+00:00,2023-09-14 18:00:00+00:00,1637.795,TP_E10,1.603052854848475,2023-09-14 18:05:00+00:00,1637.12,ACTIVE_FLOOR_GAP_OPEN,1.3961575714477985,True,2023-09-14 18:00:00+00:00,2023-09-14 18:05:00+00:00,1637.795,0.1000000000000057,0,0.06616541353383125,160.0
development,2023-10-05,2023-10-05 13:40:00+00:00,EARLY_RECLAIM,2023-10-05 14:20:00+00:00,1645.18,1648.43,1630.5,17.930000000000064,,2023-10-05 20:00:00+00:00,2023-10-05 15:05:00+00:00,1627.36,CLOSE_INVALIDATION_F15,-5.815820761254131,2023-10-05 15:05:00+00:00,1627.36,PRE_E10_CLOSE_INVALIDATION_F15,-5.815820761254131,False,,,,,0,-1.1751254880089286,45.0
development,2023-10-19,2023-10-19 13:35:00+00:00,EARLY_RECLAIM,2023-10-19 14:10:00+00:00,1554.28,1558.67,1540.53,18.1400000000001,2023-10-19 14:50:00+00:00,2023-10-19 20:00:00+00:00,2023-10-19 14:50:00+00:00,1560.4840000000002,TP_E10,1.5957793962478433,2023-10-19 14:55:00+00:00,1557.27,ACTIVE_FLOOR_GAP_OPEN,0.5618601538976534,True,2023-10-19 14:50:00+00:00,2023-10-19 14:55:00+00:00,1560.4840000000002,0.10000000000000377,0,-0.07717750826902334,45.0
development,2023-10-23,2023-10-23 14:50:00+00:00,EARLY_RECLAIM,2023-10-23 15:05:00+00:00,1679.03,1683.72,1661.2,22.519999999999985,2023-10-23 15:50:00+00:00,2023-10-23 20:00:00+00:00,2023-10-23 16:45:00+00:00,1685.972,TP_E10,1.667265028022125,2023-10-23 16:50:00+00:00,1684.36,ACTIVE_FLOOR_GAP_OPEN,1.1872259578446624,True,2023-10-23 16:45:00+00:00,2023-10-23 16:50:00+00:00,1685.972,0.09999999999999797,0,0.028419182948484594,105.0
development,2023-11-15,2023-11-15 16:05:00+00:00,EARLY_RECLAIM,2023-11-15 16:25:00+00:00,2015.6,2024.68,1982.01,42.67000000000007,2023-11-15 18:10:00+00:00,2023-11-15 20:00:00+00:00,2023-11-15 18:10:00+00:00,2028.947,TP_E10,2.91092478666406,2023-11-15 18:25:00+00:00,2028.9470000000001,ACTIVE_FLOOR_TOUCH,2.91092478666406,True,2023-11-15 18:10:00+00:00,2023-11-15 18:15:00+00:00,2028.9470000000001,0.10000000000000106,0,0.10000000000000106,120.0
development,2023-11-24,2023-11-24 15:45:00+00:00,EARLY_RECLAIM,2023-11-24 16:00:00+00:00,2117.45,2129.96,2075.14,54.82000000000016,,2023-11-24 20:00:00+00:00,2023-11-24 19:10:00+00:00,2081.99,CLOSE_INVALIDATION_F15,-8.773279180145964,2023-11-24 19:10:00+00:00,2081.99,PRE_E10_CLOSE_INVALIDATION_F15,-8.773279180145964,False,,,,,0,-0.8750456037942378,190.0
development,2023-12-26,2023-12-26 13:45:00+00:00,EARLY_RECLAIM,2023-12-26 14:10:00+00:00,2244.21,2251.21,2216.86,34.34999999999991,2023-12-26 14:25:00+00:00,2023-12-26 20:00:00+00:00,2023-12-26 16:25:00+00:00,2221.62,CLOSE_INVALIDATION_F15,-5.432951461761637,2023-12-26 16:25:00+00:00,2221.62,PRE_E10_CLOSE_INVALIDATION_F15,-5.432951461761637,False,,,,,0,-0.8614264919941841,135.0
development,2024-01-15,2024-01-15 13:55:00+00:00,EARLY_RECLAIM,2024-01-15 14:05:00+00:00,2538.78,2548.8,2507.93,40.870000000000346,2024-01-15 18:30:00+00:00,2024-01-15 20:00:00+00:00,2024-01-15 14:55:00+00:00,2511.69,CLOSE_INVALIDATION_F15,-5.735239760830058,2024-01-15 14:55:00+00:00,2511.69,PRE_E10_CLOSE_INVALIDATION_F15,-5.735239760830058,False,,,,,0,-0.9080009787129879,50.0
development,2024-02-06,2024-02-06 13:35:00+00:00,EARLY_RECLAIM,2024-02-06 13:55:00+00:00,2337.4,2344.45,2308.16,36.28999999999997,2024-02-06 14:35:00+00:00,2024-02-06 20:00:00+00:00,2024-02-06 16:20:00+00:00,2348.079,TP_E10,1.884375802173222,2024-02-06 16:50:00+00:00,2348.0789999999997,ACTIVE_FLOOR_TOUCH,1.884375802173222,True,2024-02-06 16:20:00+00:00,2024-02-06 16:25:00+00:00,2348.0789999999997,0.09999999999999748,0,0.09999999999999748,175.0
development,2024-02-07,2024-02-07 14:05:00+00:00,EARLY_RECLAIM,2024-02-07 14:30:00+00:00,2372.24,2377.11,2352.06,25.050000000000185,2024-02-07 14:45:00+00:00,2024-02-07 20:00:00+00:00,2024-02-07 14:45:00+00:00,2379.615,TP_E10,1.1544379995279246,2024-02-07 14:55:00+00:00,2379.6150000000002,ACTIVE_FLOOR_TOUCH,1.1544379995279246,True,2024-02-07 14:45:00+00:00,2024-02-07 14:50:00+00:00,2379.6150000000002,0.10000000000000361,0,0.10000000000000361,25.0
development,2024-02-15,2024-02-15 14:00:00+00:00,EARLY_RECLAIM,2024-02-15 14:10:00+00:00,2809.07,2816.13,2770.02,46.11000000000013,2024-02-15 14:10:00+00:00,2024-02-15 20:00:00+00:00,2024-02-15 14:15:00+00:00,2820.741,TP_E10,1.6773779222305056,2024-02-15 14:20:00+00:00,2815.05,ACTIVE_FLOOR_GAP_OPEN,0.6644092172854558,True,2024-02-15 14:15:00+00:00,2024-02-15 14:20:00+00:00,2820.741,0.09999999999999704,0,-0.02342225113858001,10.0
development,2024-03-28,2024-03-28 13:35:00+00:00,EARLY_RECLAIM,2024-03-28 14:05:00+00:00,3593.28,3597.61,3554.95,42.66000000000031,2024-03-28 14:05:00+00:00,2024-03-28 20:00:00+00:00,2024-03-28 14:05:00+00:00,3601.876,TP_E10,0.7961216493009408,2024-03-28 14:10:00+00:00,3593.8,ACTIVE_FLOOR_GAP_OPEN,-0.327642710838005,True,2024-03-28 14:05:00+00:00,2024-03-28 14:10:00+00:00,3601.876,0.10000000000000106,0,-0.089310829817157,5.0
development,2024-04-04,2024-04-04 14:10:00+00:00,EARLY_RECLAIM,2024-04-04 14:30:00+00:00,3370.19,3383.0,3320.91,62.09000000000015,2024-04-04 14:40:00+00:00,2024-04-04 20:00:00+00:00,2024-04-04 14:40:00+00:00,3389.209,TP_E10,2.421651004839443,2024-04-04 14:45:00+00:00,3388.53,ACTIVE_FLOOR_GAP_OPEN,2.3209148445637156,True,2024-04-04 14:40:00+00:00,2024-04-04 14:45:00+00:00,3389.209,0.09999999999999706,0,0.08906426155580908,15.0
development,2024-04-10,2024-04-10 17:25:00+00:00,EARLY_RECLAIM,2024-04-10 18:05:00+00:00,3512.13,3543.94,3413.2,130.74000000000024,,2024-04-10 20:00:00+00:00,2024-04-10 20:00:00+00:00,3523.99,TIME_EXIT_SESSION_END,1.2884340841597512,2024-04-10 20:00:00+00:00,3523.99,PRE_E10_TIME_EXIT,1.2884340841597512,False,,,,,0,-0.1525929325378632,115.0
development,2024-05-21,2024-05-21 13:50:00+00:00,EARLY_RECLAIM,2024-05-21 14:10:00+00:00,3788.16,3830.53,3651.59,178.94000000000003,2024-05-21 14:35:00+00:00,2024-05-21 20:00:00+00:00,2024-05-21 16:30:00+00:00,3848.424,TP_E10,7.554257475925041,2024-05-21 16:35:00+00:00,3823.82,ACTIVE_FLOOR_GAP_OPEN,4.30677056935298,True,2024-05-21 16:30:00+00:00,2024-05-21 16:35:00+00:00,3848.424,0.09999999999999874,0,-0.03749860288364835,145.0
development,2024-05-22,2024-05-22 16:15:00+00:00,EARLY_RECLAIM,2024-05-22 16:40:00+00:00,3752.56,3782.34,3655.0,127.34000000000016,2024-05-22 17:15:00+00:00,2024-05-22 20:00:00+00:00,2024-05-22 17:15:00+00:00,3795.074,TP_E10,5.264666254503569,2024-05-22 17:20:00+00:00,3776.07,ACTIVE_FLOOR_GAP_OPEN,2.7325281940861594,True,2024-05-22 17:15:00+00:00,2024-05-22 17:20:00+00:00,3795.074,0.09999999999999927,0,-0.049238259776974824,40.0
development,2024-08-12,2024-08-12 13:40:00+00:00,EARLY_RECLAIM,2024-08-12 14:15:00+00:00,2671.01,2698.85,2556.62,142.23000000000002,2024-08-12 14:35:00+00:00,2024-08-12 20:00:00+00:00,2024-08-12 14:35:00+00:00,2713.073,TP_E10,7.473987742464394,2024-08-12 14:40:00+00:00,2706.79,ACTIVE_FLOOR_GAP_OPEN,6.29784089164771,True,2024-08-12 14:35:00+00:00,2024-08-12 14:40:00+00:00,2713.073,0.09999999999999969,0,0.055825072066371745,25.0
development,2024-08-15,2024-08-15 13:40:00+00:00,EARLY_RECLAIM,2024-08-15 13:50:00+00:00,2653.91,2666.65,2604.29,62.36000000000013,2024-08-15 14:00:00+00:00,2024-08-15 20:00:00+00:00,2024-08-15 15:50:00+00:00,2672.886,TP_E10,3.175102396087271,2024-08-15 15:55:00+00:00,2670.43,ACTIVE_FLOOR_GAP_OPEN,2.7123888903542563,True,2024-08-15 15:50:00+00:00,2024-08-15 15:55:00+00:00,2672.886,0.09999999999999781,0,0.06061577934573024,125.0
development,2024-11-21,2024-11-21 14:10:00+00:00,EARLY_RECLAIM,2024-11-21 15:15:00+00:00,3323.06,3370.0,3120.14,249.86000000000013,2024-11-21 18:55:00+00:00,2024-11-21 20:00:00+00:00,2024-11-21 20:00:00+00:00,3349.99,TIME_EXIT_SESSION_END,3.651988227717796,2024-11-21 20:00:00+00:00,3349.99,PRE_E10_TIME_EXIT,3.6519882277177955,False,,,,,0,-0.08008484751460901,285.0
development,2024-11-29,2024-11-29 14:05:00+00:00,EARLY_RECLAIM,2024-11-29 14:20:00+00:00,3603.52,3618.0,3547.58,70.42000000000007,2024-11-29 14:35:00+00:00,2024-11-29 20:00:00+00:00,2024-11-29 14:45:00+00:00,3625.042,TP_E10,2.5862467809252947,2024-11-29 14:50:00+00:00,3621.16,ACTIVE_FLOOR_GAP_OPEN,2.0476067844774186,True,2024-11-29 14:45:00+00:00,2024-11-29 14:50:00+00:00,3625.042,0.09999999999999871,0,0.04487361545015409,30.0
external,2020-02-04,2020-02-04 15:20:00+00:00,EARLY_RECLAIM,2020-02-04 15:35:00+00:00,187.65,188.6,184.71,3.8899999999999855,2020-02-04 15:40:00+00:00,2020-02-04 20:00:00+00:00,2020-02-04 16:00:00+00:00,188.989,TP_E10,3.167812416733318,2020-02-04 16:05:00+00:00,188.65,ACTIVE_FLOOR_GAP_OPEN,2.2645350386357292,True,2020-02-04 16:00:00+00:00,2020-02-04 16:05:00+00:00,188.989,0.10000000000000295,0,0.012853470437020965,30.0
external,2020-02-19,2020-02-19 16:20:00+00:00,EARLY_RECLAIM,2020-02-19 16:35:00+00:00,281.95,283.46,274.54,8.919999999999959,2020-02-19 17:05:00+00:00,2020-02-19 20:00:00+00:00,2020-02-19 17:25:00+00:00,284.352,TP_E10,3.8596205000886568,2020-02-19 17:35:00+00:00,284.352,ACTIVE_FLOOR_TOUCH,3.8596205000886568,True,2020-02-19 17:25:00+00:00,2020-02-19 17:30:00+00:00,284.352,0.1,0,0.1,60.0
external,2020-03-31,2020-03-31 15:20:00+00:00,EARLY_RECLAIM,2020-03-31 15:35:00+00:00,132.83,133.26,131.0,2.259999999999991,2020-03-31 19:50:00+00:00,2020-03-31 20:00:00+00:00,2020-03-31 19:50:00+00:00,133.486,TP_E10,2.069321689377302,2020-03-31 19:55:00+00:00,133.19,ACTIVE_FLOOR_GAP_OPEN,0.9551155612436805,True,2020-03-31 19:50:00+00:00,2020-03-31 19:55:00+00:00,133.486,0.1,0,-0.030973451327430734,260.0
external,2020-04-06,2020-04-06 13:35:00+00:00,EARLY_RECLAIM,2020-04-06 14:05:00+00:00,156.26,158.4,149.06,9.340000000000003,2020-04-06 15:40:00+00:00,2020-04-06 20:00:00+00:00,2020-04-06 15:40:00+00:00,159.334,TP_E10,9.436170485089002,2020-04-06 15:45:00+00:00,159.24,ACTIVE_FLOOR_GAP_OPEN,9.135389735056965,True,2020-04-06 15:40:00+00:00,2020-04-06 15:45:00+00:00,159.334,0.0999999999999997,0,0.08993576017130654,100.0
external,2020-04-21,2020-04-21 14:35:00+00:00,EARLY_RECLAIM,2020-04-21 14:45:00+00:00,172.26,173.36,167.92,5.440000000000026,,2020-04-21 20:00:00+00:00,2020-04-21 20:00:00+00:00,171.77,TIME_EXIT_SESSION_END,-1.8222686636479184,2020-04-21 20:00:00+00:00,171.77,PRE_E10_TIME_EXIT,-1.8222686636479186,False,,,,,0,-0.2922794117647051,315.0
external,2020-06-01,2020-06-01 14:50:00+00:00,EARLY_RECLAIM,2020-06-01 15:00:00+00:00,239.47,240.7,234.72,5.97999999999999,,2020-06-01 20:00:00+00:00,2020-06-01 20:00:00+00:00,237.77,TIME_EXIT_SESSION_END,-3.949505157222188,2020-06-01 20:00:00+00:00,237.77,PRE_E10_TIME_EXIT,-3.949505157222188,False,,,,,0,-0.4899665551839437,300.0
external,2020-06-10,2020-06-10 13:40:00+00:00,EARLY_RECLAIM,2020-06-10 14:05:00+00:00,243.59,243.96,242.5,1.460000000000008,2020-06-10 18:10:00+00:00,2020-06-10 20:00:00+00:00,2020-06-10 18:10:00+00:00,244.106,TP_E10,0.6591567798349244,2020-06-10 18:15:00+00:00,243.99,ACTIVE_FLOOR_GAP_OPEN,0.42105176731395166,True,2020-06-10 18:10:00+00:00,2020-06-10 18:15:00+00:00,244.106,0.09999999999999026,0,0.020547945205480117,250.0
external,2020-07-01,2020-07-01 13:45:00+00:00,EARLY_RECLAIM,2020-07-01 14:00:00+00:00,228.4,229.13,225.49,3.6399999999999855,2020-07-01 14:30:00+00:00,2020-07-01 20:00:00+00:00,2020-07-01 16:00:00+00:00,229.494,TP_E10,1.994921190893129,2020-07-01 16:05:00+00:00,228.84,ACTIVE_FLOOR_GAP_OPEN,0.5632224168125702,True,2020-07-01 16:00:00+00:00,2020-07-01 16:05:00+00:00,229.494,0.10000000000000159,0,-0.0796703296703278,125.0
external,2020-08-05,2020-08-05 16:25:00+00:00,EARLY_RECLAIM,2020-08-05 18:30:00+00:00,399.09,402.11,389.5,12.610000000000014,,2020-08-05 20:00:00+00:00,2020-08-05 20:00:00+00:00,399.14,TIME_EXIT_SESSION_END,-0.3373574882858273,2020-08-05 20:00:00+00:00,399.14,PRE_E10_TIME_EXIT,-0.33735748828582734,False,,,,,0,-0.23552735923870136,90.0
external,2020-08-17,2020-08-17 14:05:00+00:00,EARLY_RECLAIM,2020-08-17 14:20:00+00:00,430.8,433.22,422.6,10.620000000000005,2020-08-17 15:45:00+00:00,2020-08-17 20:00:00+00:00,2020-08-17 15:45:00+00:00,434.282,TP_E10,3.641318477251643,2020-08-17 17:30:00+00:00,440.95,ACTIVE_FLOOR_TOUCH,11.380408542246935,True,2020-08-17 15:45:00+00:00,2020-08-17 15:50:00+00:00,440.95,0.7278719397363426,4,0.7278719397363426,190.0
external,2020-09-25,2020-09-25 16:15:00+00:00,EARLY_RECLAIM,2020-09-25 16:30:00+00:00,346.21,348.67,337.5,11.170000000000016,2020-09-25 17:40:00+00:00,2020-09-25 20:00:00+00:00,2020-09-25 17:40:00+00:00,349.78700000000003,TP_E10,4.765939747552195,2020-09-25 17:50:00+00:00,349.78700000000003,ACTIVE_FLOOR_TOUCH,4.765939747552195,True,2020-09-25 17:40:00+00:00,2020-09-25 17:45:00+00:00,349.78700000000003,0.10000000000000153,0,0.10000000000000153,80.0
external,2020-09-28,2020-09-28 17:35:00+00:00,EARLY_RECLAIM,2020-09-28 17:55:00+00:00,364.86,367.65,355.88,11.769999999999982,,2020-09-28 20:00:00+00:00,2020-09-28 20:00:00+00:00,363.2,TIME_EXIT_SESSION_END,-2.6748451460834484,2020-09-28 20:00:00+00:00,363.2,PRE_E10_TIME_EXIT,-2.6748451460834484,False,,,,,0,-0.3780798640611721,125.0
external,2020-09-30,2020-09-30 13:35:00+00:00,EARLY_RECLAIM,2020-09-30 13:45:00+00:00,354.89,356.1,351.02,5.080000000000041,2020-09-30 14:00:00+00:00,2020-09-30 20:00:00+00:00,2020-09-30 14:05:00+00:00,356.608,TP_E10,2.020468314125568,2020-09-30 14:10:00+00:00,356.16,ACTIVE_FLOOR_GAP_OPEN,1.3892868212686653,True,2020-09-30 14:05:00+00:00,2020-09-30 14:10:00+00:00,356.608,0.09999999999999552,0,0.011811023622047596,25.0
external,2020-10-05,2020-10-05 14:05:00+00:00,EARLY_RECLAIM,2020-10-05 15:20:00+00:00,353.19,354.2,349.5,4.699999999999989,,2020-10-05 20:00:00+00:00,2020-10-05 18:25:00+00:00,350.15,CLOSE_INVALIDATION_F15,-4.703632605679675,2020-10-05 18:25:00+00:00,350.15,PRE_E10_CLOSE_INVALIDATION_F15,-4.703632605679675,False,,,,,0,-0.861702127659579,185.0
external,2020-11-04,2020-11-04 13:45:00+00:00,EARLY_RECLAIM,2020-11-04 14:05:00+00:00,382.65,384.29,376.65,7.640000000000043,2020-11-04 16:00:00+00:00,2020-11-04 20:00:00+00:00,2020-11-04 16:00:00+00:00,385.054,TP_E10,2.7412517966811216,2020-11-04 16:05:00+00:00,385.03,ACTIVE_FLOOR_GAP_OPEN,2.709891545798993,True,2020-11-04 16:00:00+00:00,2020-11-04 16:05:00+00:00,385.05400000000003,0.10000000000000074,0,0.0968586387434487,120.0
external,2020-11-05,2020-11-05 13:45:00+00:00,EARLY_RECLAIM,2020-11-05 14:05:00+00:00,409.25,411.49,395.89,15.600000000000025,2020-11-05 14:10:00+00:00,2020-11-05 20:00:00+00:00,2020-11-05 14:15:00+00:00,413.05,TP_E10,4.242638973732404,2020-11-05 14:20:00+00:00,411.2,ACTIVE_FLOOR_GAP_OPEN,1.982406841783702,True,2020-11-05 14:15:00+00:00,2020-11-05 14:20:00+00:00,413.05,0.09999999999999999,0,-0.018589743589744873,15.0
external,2020-11-20,2020-11-20 14:15:00+00:00,EARLY_RECLAIM,2020-11-20 14:50:00+00:00,507.55,511.21,490.62,20.58999999999997,2020-11-20 17:35:00+00:00,2020-11-20 20:00:00+00:00,2020-11-20 17:55:00+00:00,513.269,TP_E10,5.233927691853002,2020-11-20 18:05:00+00:00,513.269,ACTIVE_FLOOR_TOUCH,5.233927691853002,True,2020-11-20 17:55:00+00:00,2020-11-20 18:00:00+00:00,513.269,0.1000000000000014,0,0.1000000000000014,195.0
external,2020-12-30,2020-12-30 16:05:00+00:00,EARLY_RECLAIM,2020-12-30 16:35:00+00:00,734.29,738.46,717.52,20.94000000000005,2020-12-30 17:35:00+00:00,2020-12-30 20:00:00+00:00,2020-12-30 18:55:00+00:00,740.5540000000001,TP_E10,3.865344754797229,2020-12-30 19:35:00+00:00,753.05,ACTIVE_FLOOR_TOUCH,12.374244508300558,True,2020-12-30 18:55:00+00:00,2020-12-30 19:00:00+00:00,753.05,0.6967526265520478,2,0.6967526265520478,180.0
external,2021-01-29,2021-01-29 14:05:00+00:00,EARLY_RECLAIM,2021-01-29 15:10:00+00:00,1405.58,1436.97,1295.92,141.04999999999995,,2021-01-29 20:00:00+00:00,2021-01-29 20:00:00+00:00,1349.94,TIME_EXIT_SESSION_END,-20.19254115738693,2021-01-29 20:00:00+00:00,1349.94,PRE_E10_TIME_EXIT,-20.192541157386934,False,,,,,0,-0.6170152428216944,290.0
external,2021-02-03,2021-02-03 13:35:00+00:00,EARLY_RECLAIM,2021-02-03 13:55:00+00:00,1556.75,1569.58,1515.5,54.07999999999993,2021-02-03 15:15:00+00:00,2021-02-03 20:00:00+00:00,2021-02-03 15:20:00+00:00,1574.9879999999998,TP_E10,5.4577163963384745,2021-02-03 16:20:00+00:00,1593.67,ACTIVE_FLOOR_TOUCH,11.458037578288073,True,2021-02-03 15:20:00+00:00,2021-02-03 15:25:00+00:00,1593.67,0.44545118343195594,2,0.44545118343195594,145.0
external,2021-03-05,2021-03-05 13:35:00+00:00,EARLY_RECLAIM,2021-03-05 13:45:00+00:00,1486.81,1497.8,1441.57,56.23000000000002,2021-03-05 14:00:00+00:00,2021-03-05 20:00:00+00:00,2021-03-05 14:15:00+00:00,1503.423,TP_E10,5.186793201552309,2021-03-05 14:40:00+00:00,1503.423,ACTIVE_FLOOR_TOUCH,5.186793201552309,True,2021-03-05 14:15:00+00:00,2021-03-05 14:20:00+00:00,1503.423,0.10000000000000081,0,0.10000000000000081,55.0
external,2021-03-09,2021-03-09 13:50:00+00:00,EARLY_RECLAIM,2021-03-09 14:15:00+00:00,1835.4,1843.6,1801.0,42.59999999999991,2021-03-09 16:00:00+00:00,2021-03-09 20:00:00+00:00,2021-03-09 16:00:00+00:00,1847.86,TP_E10,2.994355453851916,2021-03-09 16:05:00+00:00,1847.01,ACTIVE_FLOOR_GAP_OPEN,2.7627983000980243,True,2021-03-09 16:00:00+00:00,2021-03-09 16:05:00+00:00,1847.86,0.1,0,0.0800469483568096,110.0
external,2021-03-19,2021-03-19 16:05:00+00:00,EARLY_RECLAIM,2021-03-19 16:15:00+00:00,1821.54,1830.0,1786.26,43.74000000000001,2021-03-19 16:15:00+00:00,2021-03-19 20:00:00+00:00,2021-03-19 20:00:00+00:00,1828.99,TIME_EXIT_SESSION_END,1.6449729349890645,2021-03-19 20:00:00+00:00,1828.99,PRE_E10_TIME_EXIT,1.6449729349890645,False,,,,,0,-0.023090992226794484,225.0
