anchor_hour_wib,local_date,weekday,reference_start_utc,reference_end_utc,execution_start_utc,execution_end_utc,H,L,R,qualified,reason,hi_visits,lo_visits,k1_start,k1_signal,leave,leave_start,leave_ts,terminal,terminal_start,minutes_leave_to_h2
0,2022-01-02,Sunday,2022-01-01 17:00:00+00:00,2022-01-01 21:00:00+00:00,2022-01-01 21:00:00+00:00,2022-01-02 01:00:00+00:00,527.39,520.4,6.990000000000009,True,,1,0,2022-01-01 23:50:00+00:00,2022-01-01 23:55:00+00:00,False,,,BREAK_DURING_K1,2022-01-02 00:00:00+00:00,
0,2022-01-03,Monday,2022-01-02 17:00:00+00:00,2022-01-02 21:00:00+00:00,2022-01-02 21:00:00+00:00,2022-01-03 01:00:00+00:00,533.9,523.29,10.610000000000014,False,NO_K1,0,0,,,False,,,NO_K1,,
0,2022-01-04,Tuesday,2022-01-03 17:00:00+00:00,2022-01-03 21:00:00+00:00,2022-01-03 21:00:00+00:00,2022-01-04 01:00:00+00:00,522.66,510.41,12.249999999999943,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-04 00:20:00+00:00,
0,2022-01-05,Wednesday,2022-01-04 17:00:00+00:00,2022-01-04 21:00:00+00:00,2022-01-04 21:00:00+00:00,2022-01-05 01:00:00+00:00,516.78,505.52,11.259999999999991,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-05 00:00:00+00:00,
0,2022-01-06,Thursday,2022-01-05 17:00:00+00:00,2022-01-05 21:00:00+00:00,2022-01-05 21:00:00+00:00,2022-01-06 01:00:00+00:00,512.39,480.72,31.66999999999996,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-05 21:30:00+00:00,
0,2022-01-07,Friday,2022-01-06 17:00:00+00:00,2022-01-06 21:00:00+00:00,2022-01-06 21:00:00+00:00,2022-01-07 01:00:00+00:00,480.96,471.09,9.870000000000005,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-07 00:05:00+00:00,
0,2022-01-08,Saturday,2022-01-07 17:00:00+00:00,2022-01-07 21:00:00+00:00,2022-01-07 21:00:00+00:00,2022-01-08 01:00:00+00:00,454.29,447.08,7.210000000000036,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-07 22:50:00+00:00,
0,2022-01-09,Sunday,2022-01-08 17:00:00+00:00,2022-01-08 21:00:00+00:00,2022-01-08 21:00:00+00:00,2022-01-09 01:00:00+00:00,444.26,415.46,28.80000000000001,False,NO_K1,0,0,,,False,,,NO_K1,,
0,2022-01-10,Monday,2022-01-09 17:00:00+00:00,2022-01-09 21:00:00+00:00,2022-01-09 21:00:00+00:00,2022-01-10 01:00:00+00:00,444.14,435.75,8.389999999999986,False,NO_K1,0,0,,,False,,,NO_K1,,
0,2022-01-11,Tuesday,2022-01-10 17:00:00+00:00,2022-01-10 21:00:00+00:00,2022-01-10 21:00:00+00:00,2022-01-11 01:00:00+00:00,427.95,411.05,16.899999999999977,False,NO_K1,0,0,,,False,,,NO_K1,,
0,2022-01-12,Wednesday,2022-01-11 17:00:00+00:00,2022-01-11 21:00:00+00:00,2022-01-11 21:00:00+00:00,2022-01-12 01:00:00+00:00,467.4,455.64,11.759999999999991,False,NO_K1,0,0,,,False,,,NO_K1,,
0,2022-01-13,Thursday,2022-01-12 17:00:00+00:00,2022-01-12 21:00:00+00:00,2022-01-12 21:00:00+00:00,2022-01-13 01:00:00+00:00,487.59,481.51,6.079999999999984,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-12 21:20:00+00:00,
0,2022-01-14,Friday,2022-01-13 17:00:00+00:00,2022-01-13 21:00:00+00:00,2022-01-13 21:00:00+00:00,2022-01-14 01:00:00+00:00,477.44,465.86,11.579999999999984,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-13 21:00:00+00:00,
0,2022-01-15,Saturday,2022-01-14 17:00:00+00:00,2022-01-14 21:00:00+00:00,2022-01-14 21:00:00+00:00,2022-01-15 01:00:00+00:00,487.54,478.15,9.390000000000043,True,,1,0,2022-01-14 21:15:00+00:00,2022-01-14 21:20:00+00:00,False,,,BREAK_DURING_K1,2022-01-14 21:25:00+00:00,
0,2022-01-16,Sunday,2022-01-15 17:00:00+00:00,2022-01-15 21:00:00+00:00,2022-01-15 21:00:00+00:00,2022-01-16 01:00:00+00:00,499.45,493.2,6.25,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-15 22:30:00+00:00,
0,2022-01-17,Monday,2022-01-16 17:00:00+00:00,2022-01-16 21:00:00+00:00,2022-01-16 21:00:00+00:00,2022-01-17 01:00:00+00:00,503.0,496.6,6.399999999999977,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-17 00:00:00+00:00,
0,2022-01-18,Tuesday,2022-01-17 17:00:00+00:00,2022-01-17 21:00:00+00:00,2022-01-17 21:00:00+00:00,2022-01-18 01:00:00+00:00,477.89,468.35,9.539999999999964,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-17 22:15:00+00:00,
0,2022-01-19,Wednesday,2022-01-18 17:00:00+00:00,2022-01-18 21:00:00+00:00,2022-01-18 21:00:00+00:00,2022-01-19 01:00:00+00:00,463.39,457.3,6.089999999999975,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-18 21:10:00+00:00,
0,2022-01-20,Thursday,2022-01-19 17:00:00+00:00,2022-01-19 21:00:00+00:00,2022-01-19 21:00:00+00:00,2022-01-20 01:00:00+00:00,472.59,465.17,7.419999999999959,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-19 22:05:00+00:00,
0,2022-01-21,Friday,2022-01-20 17:00:00+00:00,2022-01-20 21:00:00+00:00,2022-01-20 21:00:00+00:00,2022-01-21 01:00:00+00:00,470.99,461.42,9.569999999999993,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-20 21:00:00+00:00,
0,2022-01-22,Saturday,2022-01-21 17:00:00+00:00,2022-01-21 21:00:00+00:00,2022-01-21 21:00:00+00:00,2022-01-22 01:00:00+00:00,423.55,406.19,17.360000000000014,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-21 21:25:00+00:00,
0,2022-01-23,Sunday,2022-01-22 17:00:00+00:00,2022-01-22 21:00:00+00:00,2022-01-22 21:00:00+00:00,2022-01-23 01:00:00+00:00,363.34,346.0,17.339999999999975,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-22 21:40:00+00:00,
0,2022-01-24,Monday,2022-01-23 17:00:00+00:00,2022-01-23 21:00:00+00:00,2022-01-23 21:00:00+00:00,2022-01-24 01:00:00+00:00,377.24,363.12,14.120000000000005,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-23 23:10:00+00:00,
0,2022-01-25,Tuesday,2022-01-24 17:00:00+00:00,2022-01-24 21:00:00+00:00,2022-01-24 21:00:00+00:00,2022-01-25 01:00:00+00:00,376.33,344.51,31.819999999999993,False,NO_K1,0,0,,,False,,,NO_K1,,
0,2022-01-26,Wednesday,2022-01-25 17:00:00+00:00,2022-01-25 21:00:00+00:00,2022-01-25 21:00:00+00:00,2022-01-26 01:00:00+00:00,387.9,371.8,16.099999999999966,False,NO_K1,0,0,,,False,,,NO_K1,,
0,2022-01-27,Thursday,2022-01-26 17:00:00+00:00,2022-01-26 21:00:00+00:00,2022-01-26 21:00:00+00:00,2022-01-27 01:00:00+00:00,402.42,372.0,30.420000000000016,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-26 21:35:00+00:00,
0,2022-01-28,Friday,2022-01-27 17:00:00+00:00,2022-01-27 21:00:00+00:00,2022-01-27 21:00:00+00:00,2022-01-28 01:00:00+00:00,373.18,360.8,12.379999999999995,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-27 21:00:00+00:00,
0,2022-01-29,Saturday,2022-01-28 17:00:00+00:00,2022-01-28 21:00:00+00:00,2022-01-28 21:00:00+00:00,2022-01-29 01:00:00+00:00,392.0,382.0,10.0,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-28 21:55:00+00:00,
0,2022-01-30,Sunday,2022-01-29 17:00:00+00:00,2022-01-29 21:00:00+00:00,2022-01-29 21:00:00+00:00,2022-01-30 01:00:00+00:00,390.18,382.87,7.310000000000002,True,,1,0,2022-01-29 21:05:00+00:00,2022-01-29 21:10:00+00:00,True,2022-01-29 21:10:00+00:00,2022-01-29 21:15:00+00:00,H2_ARRIVAL,2022-01-29 22:45:00+00:00,95.0
0,2022-01-31,Monday,2022-01-30 17:00:00+00:00,2022-01-30 21:00:00+00:00,2022-01-30 21:00:00+00:00,2022-01-31 01:00:00+00:00,381.89,372.13,9.759999999999991,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-31 00:40:00+00:00,
