partition,date_utc,signal_ts,window_status,depth,depth_name,mode,H,L,range,entry_level,touch_bar_start,terminal_bar_start,session_end,confirmation_bar_start,entry_executed,entry_status,entry_ts,entry_px,entry_fraction_actual,partial_entry_bar,exit_ts,exit_px,exit_reason,net_pnl_usd,hold_minutes,mae_r,mfe_r
august,2026-08-17,2026-08-17 14:55:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,0.8,F80,BLIND_NEXT_OPEN,1908.75,1890.6,18.15000000000009,1905.12,,,2026-08-17 20:00:00+00:00,,False,NO_TOUCH,,,,False,,,NO_ENTRY,,,,
august,2026-08-20,2026-08-20 15:35:00+00:00,H2_ARRIVAL,0.8,F80,BLIND_NEXT_OPEN,2318.78,2248.84,69.94000000000005,2304.7920000000004,2026-08-20 15:40:00+00:00,2026-08-20 15:45:00+00:00,2026-08-20 20:00:00+00:00,2026-08-20 15:40:00+00:00,True,TOUCH,2026-08-20 15:45:00+00:00,2302.46,0.7666571346868724,False,2026-08-20 15:50:00+00:00,2325.7740000000003,TP_E10,4.662845825768991,5.0,0.010437517872462363,0.5092936802973959
august,2026-08-13,2026-08-13 14:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,0.65,F65,EARLY_RECLAIM_NEXT_OPEN,1896.19,1874.43,21.75999999999999,1888.574,2026-08-13 15:25:00+00:00,2026-08-13 16:35:00+00:00,2026-08-13 20:00:00+00:00,2026-08-13 15:35:00+00:00,True,EARLY_RECLAIM,2026-08-13 15:40:00+00:00,1889.15,0.6764705882352956,False,2026-08-13 16:40:00+00:00,1869.17,CLOSE_INVALIDATION_F15,-5.688092528385802,60.0,1.109834558823534,0.10064338235293328
august,2026-08-17,2026-08-17 14:55:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,0.65,F65,EARLY_RECLAIM_NEXT_OPEN,1908.75,1890.6,18.15000000000009,1902.3975,,,2026-08-17 20:00:00+00:00,,False,NO_TOUCH,,,,False,,,NO_ENTRY,,,,
august,2026-08-20,2026-08-20 15:35:00+00:00,H2_ARRIVAL,0.65,F65,EARLY_RECLAIM_NEXT_OPEN,2318.78,2248.84,69.94000000000005,2294.3010000000004,,2026-08-20 15:45:00+00:00,2026-08-20 20:00:00+00:00,,False,NO_TOUCH,,,,False,,,NO_ENTRY,,,,
august,2026-08-13,2026-08-13 14:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,0.675,F67.5,EARLY_RECLAIM_NEXT_OPEN,1896.19,1874.43,21.75999999999999,1889.1180000000002,2026-08-13 15:15:00+00:00,2026-08-13 16:35:00+00:00,2026-08-13 20:00:00+00:00,2026-08-13 15:15:00+00:00,True,EARLY_RECLAIM,2026-08-13 15:20:00+00:00,1891.75,0.7959558823529386,False,2026-08-13 16:40:00+00:00,1869.17,CLOSE_INVALIDATION_F15,-6.368019029998662,80.0,1.229319852941177,0.08547794117646602
august,2026-08-17,2026-08-17 14:55:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,0.675,F67.5,EARLY_RECLAIM_NEXT_OPEN,1908.75,1890.6,18.15000000000009,1902.85125,,,2026-08-17 20:00:00+00:00,,False,NO_TOUCH,,,,False,,,NO_ENTRY,,,,
august,2026-08-20,2026-08-20 15:35:00+00:00,H2_ARRIVAL,0.675,F67.5,EARLY_RECLAIM_NEXT_OPEN,2318.78,2248.84,69.94000000000005,2296.0495,,2026-08-20 15:45:00+00:00,2026-08-20 20:00:00+00:00,,False,NO_TOUCH,,,,False,,,NO_ENTRY,,,,
august,2026-08-13,2026-08-13 14:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,0.7,F70,EARLY_RECLAIM_NEXT_OPEN,1896.19,1874.43,21.75999999999999,1889.662,2026-08-13 15:15:00+00:00,2026-08-13 16:35:00+00:00,2026-08-13 20:00:00+00:00,2026-08-13 15:15:00+00:00,True,EARLY_RECLAIM,2026-08-13 15:20:00+00:00,1891.75,0.7959558823529386,False,2026-08-13 16:40:00+00:00,1869.17,CLOSE_INVALIDATION_F15,-6.368019029998662,80.0,1.229319852941177,0.08547794117646602
august,2026-08-17,2026-08-17 14:55:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,0.7,F70,EARLY_RECLAIM_NEXT_OPEN,1908.75,1890.6,18.15000000000009,1903.305,,,2026-08-17 20:00:00+00:00,,False,NO_TOUCH,,,,False,,,NO_ENTRY,,,,
august,2026-08-20,2026-08-20 15:35:00+00:00,H2_ARRIVAL,0.7,F70,EARLY_RECLAIM_NEXT_OPEN,2318.78,2248.84,69.94000000000005,2297.7980000000002,,2026-08-20 15:45:00+00:00,2026-08-20 20:00:00+00:00,,False,NO_TOUCH,,,,False,,,NO_ENTRY,,,,
august,2026-08-13,2026-08-13 14:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,0.725,F72.5,EARLY_RECLAIM_NEXT_OPEN,1896.19,1874.43,21.75999999999999,1890.2060000000001,2026-08-13 15:05:00+00:00,2026-08-13 16:35:00+00:00,2026-08-13 20:00:00+00:00,2026-08-13 15:05:00+00:00,True,EARLY_RECLAIM,2026-08-13 15:10:00+00:00,1890.85,0.7545955882352873,False,2026-08-13 16:40:00+00:00,1869.17,CLOSE_INVALIDATION_F15,-6.132871459925404,90.0,1.1879595588235257,0.12683823529411728
august,2026-08-17,2026-08-17 14:55:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,0.725,F72.5,EARLY_RECLAIM_NEXT_OPEN,1908.75,1890.6,18.15000000000009,1903.75875,,,2026-08-17 20:00:00+00:00,,False,NO_TOUCH,,,,False,,,NO_ENTRY,,,,
august,2026-08-20,2026-08-20 15:35:00+00:00,H2_ARRIVAL,0.725,F72.5,EARLY_RECLAIM_NEXT_OPEN,2318.78,2248.84,69.94000000000005,2299.5465000000004,,2026-08-20 15:45:00+00:00,2026-08-20 20:00:00+00:00,,False,NO_TOUCH,,,,False,,,NO_ENTRY,,,,
august,2026-08-13,2026-08-13 14:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,0.75,F75,EARLY_RECLAIM_NEXT_OPEN,1896.19,1874.43,21.75999999999999,1890.75,2026-08-13 15:05:00+00:00,2026-08-13 16:35:00+00:00,2026-08-13 20:00:00+00:00,2026-08-13 15:05:00+00:00,True,EARLY_RECLAIM,2026-08-13 15:10:00+00:00,1890.85,0.7545955882352873,False,2026-08-13 16:40:00+00:00,1869.17,CLOSE_INVALIDATION_F15,-6.132871459925404,90.0,1.1879595588235257,0.12683823529411728
august,2026-08-17,2026-08-17 14:55:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,0.75,F75,EARLY_RECLAIM_NEXT_OPEN,1908.75,1890.6,18.15000000000009,1904.2125,,,2026-08-17 20:00:00+00:00,,False,NO_TOUCH,,,,False,,,NO_ENTRY,,,,
august,2026-08-20,2026-08-20 15:35:00+00:00,H2_ARRIVAL,0.75,F75,EARLY_RECLAIM_NEXT_OPEN,2318.78,2248.84,69.94000000000005,2301.295,2026-08-20 15:40:00+00:00,2026-08-20 15:45:00+00:00,2026-08-20 20:00:00+00:00,2026-08-20 15:40:00+00:00,True,EARLY_RECLAIM,2026-08-20 15:45:00+00:00,2302.46,0.7666571346868724,False,2026-08-20 15:50:00+00:00,2325.7740000000003,TP_E10,4.662845825768991,5.0,0.010437517872462363,0.5092936802973959
august,2026-08-13,2026-08-13 14:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,0.775,F77.5,EARLY_RECLAIM_NEXT_OPEN,1896.19,1874.43,21.75999999999999,1891.294,2026-08-13 15:05:00+00:00,2026-08-13 16:35:00+00:00,2026-08-13 20:00:00+00:00,2026-08-13 15:15:00+00:00,True,EARLY_RECLAIM,2026-08-13 15:20:00+00:00,1891.75,0.7959558823529386,False,2026-08-13 16:40:00+00:00,1869.17,CLOSE_INVALIDATION_F15,-6.368019029998662,80.0,1.229319852941177,0.08547794117646602
august,2026-08-17,2026-08-17 14:55:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,0.775,F77.5,EARLY_RECLAIM_NEXT_OPEN,1908.75,1890.6,18.15000000000009,1904.66625,,,2026-08-17 20:00:00+00:00,,False,NO_TOUCH,,,,False,,,NO_ENTRY,,,,
august,2026-08-20,2026-08-20 15:35:00+00:00,H2_ARRIVAL,0.775,F77.5,EARLY_RECLAIM_NEXT_OPEN,2318.78,2248.84,69.94000000000005,2303.0435,2026-08-20 15:40:00+00:00,2026-08-20 15:45:00+00:00,2026-08-20 20:00:00+00:00,,False,NO_RECLAIM_PRE_TERMINAL,,,,False,,,NO_ENTRY,,,,
august,2026-08-13,2026-08-13 14:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,0.8,F80,EARLY_RECLAIM_NEXT_OPEN,1896.19,1874.43,21.75999999999999,1891.838,2026-08-13 15:05:00+00:00,2026-08-13 16:35:00+00:00,2026-08-13 20:00:00+00:00,,False,NO_RECLAIM_PRE_TERMINAL,,,,False,,,NO_ENTRY,,,,
august,2026-08-17,2026-08-17 14:55:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,0.8,F80,EARLY_RECLAIM_NEXT_OPEN,1908.75,1890.6,18.15000000000009,1905.12,,,2026-08-17 20:00:00+00:00,,False,NO_TOUCH,,,,False,,,NO_ENTRY,,,,
august,2026-08-20,2026-08-20 15:35:00+00:00,H2_ARRIVAL,0.8,F80,EARLY_RECLAIM_NEXT_OPEN,2318.78,2248.84,69.94000000000005,2304.7920000000004,2026-08-20 15:40:00+00:00,2026-08-20 15:45:00+00:00,2026-08-20 20:00:00+00:00,,False,NO_RECLAIM_PRE_TERMINAL,,,,False,,,NO_ENTRY,,,,
august,2026-08-13,2026-08-13 14:40:00+00:00,OPPOSITE_BREAK_BEFORE_H2,0.65,F65,NEXT_BAR_CONFIRM_NEXT_OPEN,1896.19,1874.43,21.75999999999999,1888.574,2026-08-13 15:25:00+00:00,2026-08-13 16:35:00+00:00,2026-08-13 20:00:00+00:00,,False,NEXT_BAR_NOT_ABOVE_LEVEL,,,,False,,,NO_ENTRY,,,,
august,2026-08-17,2026-08-17 14:55:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,0.65,F65,NEXT_BAR_CONFIRM_NEXT_OPEN,1908.75,1890.6,18.15000000000009,1902.3975,,,2026-08-17 20:00:00+00:00,,False,NO_TOUCH,,,,False,,,NO_ENTRY,,,,
august,2026-08-20,2026-08-20 15:35:00+00:00,H2_ARRIVAL,0.65,F65,NEXT_BAR_CONFIRM_NEXT_OPEN,2318.78,2248.84,69.94000000000005,2294.3010000000004,,2026-08-20 15:45:00+00:00,2026-08-20 20:00:00+00:00,,False,NO_TOUCH,,,,False,,,NO_ENTRY,,,,
