partition,anchor_date_utc,clock_min,reference_start,reference_end,execution_start,execution_end,H,L,range,F85,F35,E20,k1_signal_bar_start,k1_signal_ts,leave_bar_start,leave_ts,h2_bar_start,opposite_break_bar_start,touch_bar_start,same_bar_confirmed,entry_executed,entry_bar_start,entry_px,entry_fraction,nominal_rr,exit_bar_start,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,tp_hit,time_exit,case_status,entry_b,zone,touch_elapsed_min,primary_eligible,expanded_eligible,k1_elapsed_min,h_formation_ts,l_formation_ts,range_completion_ts,range_completion_elapsed_min,range_completion_age_min,range_completed_second_half,runner_exit_bar_start,runner_exit_ts,runner_exit_px,runner_exit_reason,runner_net_pnl_usd,runner_armed,runner_arm_bar_start,runner_initial_floor,runner_final_floor,runner_final_floor_ext,runner_floor_raises,runner_max_high_ext,runner_max_close_ext,runner_delta_vs_fixed_candidate,fixed_exit_ts,fixed_exit_px,fixed_net_pnl_usd,tie_order,accepted,decision,blocked_by_zone,portfolio
external,2020-01-01,330,2020-01-01 05:30:00+00:00,2020-01-01 11:00:00+00:00,2020-01-01 11:00:00+00:00,2020-01-01 17:30:00+00:00,7230.0,7174.0,56.0,7221.6,7193.6,7241.2,2020-01-01 11:25:00+00:00,2020-01-01 11:30:00+00:00,2020-01-01 11:30:00+00:00,2020-01-01 11:35:00+00:00,2020-01-01 15:35:00+00:00,,2020-01-01 11:40:00+00:00,True,True,2020-01-01 11:45:00+00:00,7223.99,0.8926785714285675,0.5663047054952407,2020-01-01 11:50:00+00:00,2020-01-01 11:55:00+00:00,7190.09,CLOSE_INVALIDATION_F35,-0.0046926975258824,-2.746348762941208,False,False,TRADE_EXECUTED,True,RAW_0530,40.0,False,True,30.0,2020-01-01 06:20:00+00:00,2020-01-01 08:45:00+00:00,2020-01-01 08:45:00+00:00,195.0,135.0,True,2020-01-01 11:50:00+00:00,2020-01-01 11:55:00+00:00,7190.09,CLOSE_INVALIDATION_F35,-2.746348762941208,False,,,,,0,-0.10249999999999611,-0.4107142857142857,0.0,2020-01-01 11:55:00+00:00,7190.09,-2.746348762941208,2,True,ACCEPT,,B27DN_E10_BREATHING_RUNNER
external,2020-01-02,1410,2020-01-02 23:30:00+00:00,2020-01-03 05:00:00+00:00,2020-01-03 05:00:00+00:00,2020-01-03 11:30:00+00:00,7300.0,6863.44,436.5600000000004,7234.516,7016.236,7387.312,2020-01-03 08:40:00+00:00,2020-01-03 08:45:00+00:00,2020-01-03 08:45:00+00:00,2020-01-03 08:50:00+00:00,2020-01-03 09:05:00+00:00,,2020-01-03 08:55:00+00:00,True,True,2020-01-03 09:00:00+00:00,7257.99,0.9037703866593362,0.5349322038104858,2020-01-03 11:30:00+00:00,2020-01-03 11:30:00+00:00,7326.13,TIME_EXIT_EXEC_END,0.0093882741640591,4.294137082029592,False,True,TRADE_EXECUTED,True,RAW_2330,235.0,False,True,225.0,2020-01-03 04:40:00+00:00,2020-01-03 02:00:00+00:00,2020-01-03 04:40:00+00:00,310.0,20.0,True,2020-01-03 11:30:00+00:00,2020-01-03 11:30:00+00:00,7326.13,TIME_EXIT_EXEC_END,4.294137082029592,False,,,,,0,0.15651914971596084,0.1550760491112327,0.0,2020-01-03 11:30:00+00:00,7326.13,4.294137082029592,4,True,ACCEPT,,B27DN_E10_BREATHING_RUNNER
external,2020-01-08,330,2020-01-08 05:30:00+00:00,2020-01-08 11:00:00+00:00,2020-01-08 11:00:00+00:00,2020-01-08 17:30:00+00:00,8372.28,8267.0,105.28000000000064,8356.488000000001,8303.848,8393.336000000001,2020-01-08 11:25:00+00:00,2020-01-08 11:30:00+00:00,2020-01-08 11:30:00+00:00,2020-01-08 11:35:00+00:00,,2020-01-08 13:05:00+00:00,2020-01-08 11:35:00+00:00,True,True,2020-01-08 11:40:00+00:00,8360.58,0.888867781155009,0.5773813720651703,2020-01-08 12:55:00+00:00,2020-01-08 13:00:00+00:00,8289.0,CLOSE_INVALIDATION_F35,-0.0085616069698514,-4.680803484925711,False,False,TRADE_EXECUTED,True,RAW_0530,35.0,False,True,30.0,2020-01-08 10:05:00+00:00,2020-01-08 08:10:00+00:00,2020-01-08 10:05:00+00:00,275.0,55.0,True,2020-01-08 12:55:00+00:00,2020-01-08 13:00:00+00:00,8289.0,CLOSE_INVALIDATION_F35,-4.680803484925711,False,,,,,0,-0.05338145896657263,-0.16546352583586593,0.0,2020-01-08 13:00:00+00:00,8289.0,-4.680803484925711,2,True,ACCEPT,,B27DN_E10_BREATHING_RUNNER
external,2020-02-12,480,2020-02-12 08:00:00+00:00,2020-02-12 13:30:00+00:00,2020-02-12 13:30:00+00:00,2020-02-12 20:00:00+00:00,10395.0,10235.52,159.47999999999956,10371.078,10291.338,10426.896,2020-02-12 13:30:00+00:00,2020-02-12 13:35:00+00:00,2020-02-12 13:40:00+00:00,2020-02-12 13:45:00+00:00,2020-02-12 14:00:00+00:00,,2020-02-12 13:45:00+00:00,True,True,2020-02-12 13:50:00+00:00,10374.79,0.8732756458490144,0.6243828787806052,2020-02-12 14:00:00+00:00,2020-02-12 14:10:00+00:00,10410.948,TP_E20,0.0050223667177842,1.3425894885583216,True,False,TRADE_EXECUTED,True,LONDON,15.0,True,True,5.0,2020-02-12 13:25:00+00:00,2020-02-12 08:40:00+00:00,2020-02-12 13:25:00+00:00,325.0,5.0,True,2020-02-12 14:05:00+00:00,2020-02-12 14:10:00+00:00,10410.948,BREATHING_FLOOR_TOUCH,1.3425894885583216,True,2020-02-12 14:00:00+00:00,10410.948,10410.948,0.1,0,0.26335590669676523,0.21582643591673042,-0.7685938703337891,2020-02-12 14:00:00+00:00,10426.896,2.1111833588921107,0,True,ACCEPT,,B27DN_E10_BREATHING_RUNNER
external,2020-02-17,210,2020-02-17 03:30:00+00:00,2020-02-17 09:00:00+00:00,2020-02-17 09:00:00+00:00,2020-02-17 15:30:00+00:00,9841.0,9720.23,120.77000000000044,9822.8845,9762.4995,9865.154,2020-02-17 09:00:00+00:00,2020-02-17 09:05:00+00:00,2020-02-17 09:05:00+00:00,2020-02-17 09:10:00+00:00,2020-02-17 09:15:00+00:00,,2020-02-17 09:10:00+00:00,True,True,2020-02-17 09:15:00+00:00,9832.0,0.925478181667633,0.4770325393342552,2020-02-17 10:15:00+00:00,2020-02-17 10:20:00+00:00,9744.73,CLOSE_INVALIDATION_F35,-0.0088761187957689,-4.838059397884498,False,False,TRADE_EXECUTED,True,ALT_0330,10.0,True,True,5.0,2020-02-17 06:25:00+00:00,2020-02-17 04:45:00+00:00,2020-02-17 06:25:00+00:00,175.0,155.0,True,2020-02-17 10:15:00+00:00,2020-02-17 10:20:00+00:00,9744.73,CLOSE_INVALIDATION_F35,-4.838059397884498,False,,,,,0,0.031050757638486266,-0.14341309927961948,0.0,2020-02-17 10:20:00+00:00,9744.73,-4.838059397884498,1,True,ACCEPT,,B27DN_E10_BREATHING_RUNNER
external,2020-03-02,330,2020-03-02 05:30:00+00:00,2020-03-02 11:00:00+00:00,2020-03-02 11:00:00+00:00,2020-03-02 17:30:00+00:00,8777.0,8607.0,170.0,8751.5,8666.5,8811.0,2020-03-02 11:45:00+00:00,2020-03-02 11:50:00+00:00,2020-03-02 11:50:00+00:00,2020-03-02 11:55:00+00:00,2020-03-02 13:05:00+00:00,,2020-03-02 11:55:00+00:00,True,True,2020-03-02 12:00:00+00:00,8760.7,0.9041176470588278,0.5339702760084807,2020-03-02 13:20:00+00:00,2020-03-02 13:55:00+00:00,8811.0,TP_E20,0.0057415503327358,2.4707751663679116,True,False,TRADE_EXECUTED,True,RAW_0530,55.0,False,True,50.0,2020-03-02 10:35:00+00:00,2020-03-02 07:20:00+00:00,2020-03-02 10:35:00+00:00,305.0,25.0,True,2020-03-02 13:50:00+00:00,2020-03-02 13:55:00+00:00,8811.0,BREATHING_FLOOR_TOUCH,2.4707751663679116,True,2020-03-02 13:20:00+00:00,8794.0,8811.0,0.2,1,0.4654705882352894,0.39994117647058697,-4.440892098500626e-16,2020-03-02 13:20:00+00:00,8811.0,2.470775166367912,2,True,ACCEPT,,B27DN_E10_BREATHING_RUNNER
external,2020-03-04,1410,2020-03-04 23:30:00+00:00,2020-03-05 05:00:00+00:00,2020-03-05 05:00:00+00:00,2020-03-05 11:30:00+00:00,8949.34,8739.37,209.96999999999932,8917.844500000001,8812.8595,8991.334,2020-03-05 06:05:00+00:00,2020-03-05 06:10:00+00:00,2020-03-05 06:10:00+00:00,2020-03-05 06:15:00+00:00,2020-03-05 09:20:00+00:00,,2020-03-05 06:15:00+00:00,True,True,2020-03-05 06:20:00+00:00,8923.01,0.8746011334952611,0.6202786187988315,2020-03-05 09:25:00+00:00,2020-03-05 11:30:00+00:00,9085.76,TP_E20,0.0076570574279306,8.719680466568969,True,False,TRADE_EXECUTED,True,RAW_2330,75.0,False,True,70.0,2020-03-05 02:45:00+00:00,2020-03-04 23:35:00+00:00,2020-03-05 02:45:00+00:00,195.0,135.0,True,2020-03-05 11:30:00+00:00,2020-03-05 11:30:00+00:00,9085.76,BREATHING_RUNNER_TIME_EXIT,8.719680466568969,True,2020-03-05 09:25:00+00:00,8970.337,9075.322,0.6000000000000019,5,0.8604086298042598,0.7383911987426754,5.291151752603639,2020-03-05 09:25:00+00:00,8991.334,3.428528713965329,4,True,ACCEPT,,B27DN_E10_BREATHING_RUNNER
external,2020-03-13,210,2020-03-13 03:30:00+00:00,2020-03-13 09:00:00+00:00,2020-03-13 09:00:00+00:00,2020-03-13 15:30:00+00:00,5646.48,4520.62,1125.8599999999997,5477.601,4914.670999999999,5871.651999999999,2020-03-13 09:50:00+00:00,2020-03-13 09:55:00+00:00,2020-03-13 10:05:00+00:00,2020-03-13 10:10:00+00:00,2020-03-13 12:40:00+00:00,,2020-03-13 10:10:00+00:00,True,True,2020-03-13 10:15:00+00:00,5503.9,0.873359032206491,0.6241240672132555,2020-03-13 13:30:00+00:00,2020-03-13 13:45:00+00:00,5759.066,TP_E20,0.0668166209415142,22.780472028924926,True,False,TRADE_EXECUTED,True,ALT_0330,70.0,True,True,55.0,2020-03-13 08:05:00+00:00,2020-03-13 04:55:00+00:00,2020-03-13 08:05:00+00:00,275.0,55.0,True,2020-03-13 13:40:00+00:00,2020-03-13 13:45:00+00:00,5759.066,BREATHING_FLOOR_TOUCH,22.780472028924926,True,2020-03-13 13:30:00+00:00,5759.066,5759.066,0.1,0,0.2882418773204488,0.2683015650258475,-10.22783844183217,2020-03-13 13:30:00+00:00,5871.651999999999,33.008310470757095,1,True,ACCEPT,,B27DN_E10_BREATHING_RUNNER
external,2020-03-18,480,2020-03-18 08:00:00+00:00,2020-03-18 13:30:00+00:00,2020-03-18 13:30:00+00:00,2020-03-18 20:00:00+00:00,5249.18,4982.75,266.4300000000003,5209.2155,5076.0005,5302.466,2020-03-18 13:30:00+00:00,2020-03-18 13:35:00+00:00,2020-03-18 13:40:00+00:00,2020-03-18 13:45:00+00:00,2020-03-18 13:50:00+00:00,,2020-03-18 13:45:00+00:00,True,True,2020-03-18 13:50:00+00:00,5240.89,0.9688848853357356,0.3734379690641304,2020-03-18 13:50:00+00:00,2020-03-18 14:00:00+00:00,5329.109,TP_E20,0.0117491494765202,8.016414006018113,True,False,TRADE_EXECUTED,True,LONDON,15.0,True,True,5.0,2020-03-18 09:05:00+00:00,2020-03-18 10:05:00+00:00,2020-03-18 10:05:00+00:00,125.0,205.0,False,2020-03-18 13:55:00+00:00,2020-03-18 14:00:00+00:00,5329.109,BREATHING_FLOOR_TOUCH,8.016414006018113,True,2020-03-18 13:50:00+00:00,5275.823,5329.109,0.3,1,0.47975077881619776,0.4410539353676357,2.5418392677579726,2020-03-18 13:50:00+00:00,5302.466,5.474574738260141,0,True,ACCEPT,,B27DN_E10_BREATHING_RUNNER
external,2020-04-02,210,2020-04-02 03:30:00+00:00,2020-04-02 09:00:00+00:00,2020-04-02 09:00:00+00:00,2020-04-02 15:30:00+00:00,6675.54,6558.93,116.60999999999969,6658.0485,6599.7435000000005,6698.862,2020-04-02 10:10:00+00:00,2020-04-02 10:15:00+00:00,2020-04-02 10:15:00+00:00,2020-04-02 10:20:00+00:00,2020-04-02 11:35:00+00:00,,2020-04-02 11:20:00+00:00,True,True,2020-04-02 11:25:00+00:00,6660.72,0.8729096989966577,0.6255196674128554,2020-04-02 12:00:00+00:00,2020-04-02 12:05:00+00:00,6650.0,TP_E20,0.0057264079558967,-1.2047178082850047,True,False,TRADE_EXECUTED,True,ALT_0330,140.0,True,True,75.0,2020-04-02 07:25:00+00:00,2020-04-02 05:25:00+00:00,2020-04-02 07:25:00+00:00,235.0,95.0,True,2020-04-02 12:05:00+00:00,2020-04-02 12:05:00+00:00,6650.0,BREATHING_FLOOR_GAP_OPEN,-1.2047178082850047,True,2020-04-02 12:00:00+00:00,6687.201,6687.201,0.1,0,0.4515907726610067,0.10076322785352913,-3.6679217862333746,2020-04-02 12:00:00+00:00,6698.862,2.46320397794837,1,True,ACCEPT,,B27DN_E10_BREATHING_RUNNER
