tf,transition,partition,group,days,setups,fills,fill_rate,wins,losses,wr,tp_rate,net_pf,net_exp,total_net,time_exit_rate
5m,ASIA_TO_LONDON,external,ALL,523,373,104,0.27882037533512066,47,57,0.4519230769230769,0.2980769230769231,0.6511151858949794,-0.7631004721814034,-79.36244910686595,0.3557692307692308
5m,ASIA_TO_LONDON,external,LONG,188,188,41,0.21808510638297873,18,23,0.43902439024390244,0.34146341463414637,0.5035629474016581,-1.292701894007456,-53.00077765430569,0.2926829268292683
5m,ASIA_TO_LONDON,external,SHORT,185,185,63,0.34054054054054056,29,34,0.4603174603174603,0.2698412698412698,0.7816157194123582,-0.4184392294057183,-26.361671452560255,0.3968253968253968
5m,ASIA_TO_LONDON,development,ALL,782,607,212,0.34925864909390447,93,119,0.4386792452830189,0.24056603773584906,0.6314325392652445,-0.5392338395514433,-114.31757398490599,0.4481132075471698
5m,ASIA_TO_LONDON,development,LONG,326,326,105,0.3220858895705521,50,55,0.47619047619047616,0.2761904761904762,0.7482335382638879,-0.3274478017937398,-34.382019188342674,0.44761904761904764
5m,ASIA_TO_LONDON,development,SHORT,281,281,107,0.3807829181494662,43,64,0.40186915887850466,0.205607476635514,0.5395527609079722,-0.7470612597809656,-79.93555479656332,0.4485981308411215
5m,ASIA_TO_LONDON,reference_validation,ALL,411,335,102,0.3044776119402985,33,69,0.3235294117647059,0.19607843137254902,0.48863071311312856,-0.7756775168980431,-79.1191067236004,0.4803921568627451
5m,ASIA_TO_LONDON,reference_validation,LONG,169,169,56,0.33136094674556216,19,37,0.3392857142857143,0.25,0.5822014332416013,-0.6273539923367343,-35.13182357085712,0.44642857142857145
5m,ASIA_TO_LONDON,reference_validation,SHORT,166,166,46,0.27710843373493976,14,32,0.30434782608695654,0.13043478260869565,0.37723428183833646,-0.9562452859292018,-43.98728315274328,0.5217391304347826
5m,ASIA_TO_LONDON,august,ALL,14,13,6,0.46153846153846156,1,5,0.16666666666666666,0.0,0.10791299936560471,-1.8970157270165482,-11.38209436209929,0.3333333333333333
5m,ASIA_TO_LONDON,august,LONG,8,8,3,0.375,0,3,0.0,0.0,0.0,-2.4867400606261096,-7.460220181878329,0.3333333333333333
5m,ASIA_TO_LONDON,august,SHORT,5,5,3,0.6,1,2,0.3333333333333333,0.0,0.2598465015044664,-1.3072913934069874,-3.921874180220962,0.3333333333333333
5m,LONDON_TO_NEWYORK,external,ALL,523,369,107,0.2899728997289973,58,49,0.5420560747663551,0.37383177570093457,1.1081938075010698,0.18340842105475397,19.624701052858676,0.2897196261682243
5m,LONDON_TO_NEWYORK,external,LONG,214,214,63,0.29439252336448596,34,29,0.5396825396825397,0.36507936507936506,1.0930029254643792,0.15985079928041526,10.070600354666162,0.31746031746031744
5m,LONDON_TO_NEWYORK,external,SHORT,155,155,44,0.2838709677419355,24,20,0.5454545454545454,0.38636363636363635,1.1306953358885872,0.21713865223164788,9.554100698192507,0.25
5m,LONDON_TO_NEWYORK,development,ALL,782,620,272,0.43870967741935485,113,159,0.41544117647058826,0.3639705882352941,0.5664024756423134,-0.9697828647681666,-263.7809392169413,0.14338235294117646
5m,LONDON_TO_NEWYORK,development,LONG,292,292,124,0.4246575342465753,51,73,0.4112903225806452,0.3467741935483871,0.6898661496171485,-0.6858132878868964,-85.04084769797515,0.1693548387096774
5m,LONDON_TO_NEWYORK,development,SHORT,328,328,148,0.45121951219512196,62,86,0.4189189189189189,0.3783783783783784,0.46508613803128596,-1.2077033210740957,-178.74009151896615,0.12162162162162163
5m,LONDON_TO_NEWYORK,reference_validation,ALL,411,333,155,0.46546546546546547,79,76,0.5096774193548387,0.49032258064516127,0.8572741463360468,-0.2202135572530874,-34.133101374228545,0.04516129032258064
5m,LONDON_TO_NEWYORK,reference_validation,LONG,159,159,76,0.4779874213836478,38,38,0.5,0.47368421052631576,0.7590088906047009,-0.39435402017622745,-29.970905533393285,0.02631578947368421
5m,LONDON_TO_NEWYORK,reference_validation,SHORT,174,174,79,0.4540229885057471,41,38,0.5189873417721519,0.5063291139240507,0.96373961266041,-0.05268602330171202,-4.16219584083525,0.06329113924050633
5m,LONDON_TO_NEWYORK,august,ALL,14,11,5,0.45454545454545453,4,1,0.8,0.4,2.4479892805264565,0.515597875476626,2.57798937738313,0.4
5m,LONDON_TO_NEWYORK,august,LONG,6,6,2,0.3333333333333333,2,0,1.0,0.5,inf,1.2483440232371583,2.4966880464743166,0.5
5m,LONDON_TO_NEWYORK,august,SHORT,5,5,3,0.6,2,1,0.6666666666666666,0.3333333333333333,1.0456648334866276,0.027100443636271027,0.08130133090881309,0.3333333333333333
15m,ASIA_TO_LONDON,external,ALL,523,373,104,0.27882037533512066,47,57,0.4519230769230769,0.2980769230769231,0.6511151858949794,-0.7631004721814034,-79.36244910686595,0.3557692307692308
15m,ASIA_TO_LONDON,external,LONG,188,188,41,0.21808510638297873,18,23,0.43902439024390244,0.34146341463414637,0.5035629474016581,-1.292701894007456,-53.00077765430569,0.2926829268292683
15m,ASIA_TO_LONDON,external,SHORT,185,185,63,0.34054054054054056,29,34,0.4603174603174603,0.2698412698412698,0.7816157194123582,-0.4184392294057183,-26.361671452560255,0.3968253968253968
15m,ASIA_TO_LONDON,development,ALL,782,607,212,0.34925864909390447,93,119,0.4386792452830189,0.24056603773584906,0.6314325392652445,-0.5392338395514433,-114.31757398490599,0.4481132075471698
