partition,stress_bps,candidates,accepted,blocked,trades_per_week,n,wins,wr,pf,expectancy,net,max_ls
external,0,167,144,23,1.3789329685362517,144,92,0.6388888888888888,1.6687362580140315,1.3767219257238317,198.24795730423176,3
external,5,167,144,23,1.3789329685362517,144,84,0.5833333333333334,1.441593252155439,0.9948420520321645,143.25725549263169,4
development,0,288,233,55,1.4881386861313868,233,143,0.6137339055793991,1.213057115982109,0.40083853516133644,93.3953786925914,5
development,5,288,233,55,1.4881386861313868,233,139,0.5965665236051502,1.015551762016963,0.03228426422302813,7.522233563965555,5
reference_validation,0,120,101,19,1.2295652173913043,101,65,0.6435643564356436,1.5202021781927468,0.931720335635137,94.10375389914884,4
reference_validation,5,120,101,19,1.2295652173913043,101,64,0.6336633663366337,1.2818325555768442,0.5556532954434431,56.12098283978776,4
POOLED_MAJOR,0,575,478,97,1.3930058284762699,478,300,0.6276150627615062,1.421255348037584,0.8070022801170963,385.747089895972,5
POOLED_MAJOR,5,575,478,97,1.3930058284762699,478,287,0.600418410041841,1.205415542552364,0.4328461755154499,206.90047189638506,5
